2026-05-03 19:43:10 | DocProcessingActor | INFO | doc_actor.py:59 | [16_overlap:DocProcessingActor] DocProcessingActor initialized
2026-05-03 19:43:10 | DocProcessingActor | INFO | doc_actor.py:59 | [16_overlap:DocProcessingActor] DocProcessingActor initialized
2026-05-03 19:43:12 | DocProcessingActor | INFO | doc_actor.py:96 | [16_overlap:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 19:43:12 | DocProcessingActor | INFO | doc_actor.py:107 | [16_overlap:DocProcessingActor] Building document index...
2026-05-03 19:43:12 | DocProcessingActor | INFO | doc_actor.py:96 | [16_overlap:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 19:43:12 | DocProcessingActor | INFO | doc_actor.py:107 | [16_overlap:DocProcessingActor] Building document index...
2026-05-03 19:43:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:43:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:43:18 | DocProcessingActor | INFO | doc_actor.py:109 | [16_overlap:DocProcessingActor] Document index built successfully
2026-05-03 19:43:18 | DocProcessingActor | INFO | doc_actor.py:134 | [16_overlap:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 19:43:18 | DocProcessingActor | INFO | doc_actor.py:144 | [16_overlap:DocProcessingActor] FAISS index serialized: 602484 bytes
2026-05-03 19:43:18 | DocProcessingActor | INFO | doc_actor.py:189 | [16_overlap:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 19:43:20 | DocProcessingActor | INFO | doc_actor.py:109 | [16_overlap:DocProcessingActor] Document index built successfully
2026-05-03 19:43:20 | DocProcessingActor | INFO | doc_actor.py:134 | [16_overlap:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 19:43:20 | DocProcessingActor | INFO | doc_actor.py:144 | [16_overlap:DocProcessingActor] FAISS index serialized: 2654116 bytes
2026-05-03 19:43:20 | DocProcessingActor | INFO | doc_actor.py:189 | [16_overlap:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 19:43:43 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [16_overlap:QueryProcessingActor-0] Initializing new inference engine (config hash: e65f5493)
2026-05-03 19:43:43 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [16_overlap:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:43:43 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [16_overlap:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:43:43 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [16_overlap:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-03 19:43:43 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [16_overlap:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-03 19:43:43 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [16_overlap:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-03 19:43:43 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 19:43:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [16_overlap:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 19:43:45 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [16_overlap:QueryProcessingActor-1] Initializing new inference engine (config hash: e65f5493)
2026-05-03 19:43:45 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [16_overlap:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-03 19:43:45 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [16_overlap:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 19:43:45 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [16_overlap:QueryProcessingActor-1] Deserializing FAISS index for this actor...
