2026-05-06 16:54:01 | Experiment | INFO | experiment.py:165 | [512_32_temp0.8_1:Experiment] An experiment with the same name already exists. Created a new experiment '512_32_temp0.8_1' with Experiment ID: 38 at /home/ayliang/rapidfireai/rapidfire_experiments/512_32_temp0.8_1
2026-05-06 16:54:19 | Experiment | INFO | metric_rfmetric_manager.py:55 | [512_32_temp0.8_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 16:54:19 | Experiment | INFO | metric_rfmetric_manager.py:119 | [512_32_temp0.8_1:Experiment] Creating MLflow experiment: 512_32_temp0.8_1
2026-05-06 16:54:19 | Experiment | INFO | experiment.py:210 | [512_32_temp0.8_1:Experiment] Initialized MetricLogger experiment: 33
2026-05-06 16:54:19 | Experiment | INFO | experiment.py:226 | [512_32_temp0.8_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 16:54:19 | Experiment | WARNING | experiment.py:381 | [512_32_temp0.8_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 16:54:19 | Experiment | INFO | experiment.py:383 | [512_32_temp0.8_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 16:54:19 | Experiment | INFO | experiment.py:392 | [512_32_temp0.8_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 16:54:19 | Controller | INFO | controller.py:895 | [512_32_temp0.8_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 16:54:19 | Controller | INFO | controller.py:900 | [512_32_temp0.8_1:Controller] Received 2 pipeline configuration(s)
2026-05-06 16:54:19 | Controller | INFO | controller.py:309 | [512_32_temp0.8_1:Controller] Found 1 unique RAG context(s)
2026-05-06 16:54:19 | Controller | INFO | controller.py:320 | [512_32_temp0.8_1:Controller] Will build new context adfade24...
2026-05-06 16:54:19 | Controller | INFO | controller.py:346 | [512_32_temp0.8_1:Controller] Building 1 context(s) in parallel...
2026-05-06 16:54:19 | Controller | INFO | controller.py:373 | [512_32_temp0.8_1:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 16:54:20 | Controller | INFO | controller.py:461 | [512_32_temp0.8_1:Controller] Submitted 1 build task(s) in parallel
2026-05-06 16:54:41 | DocProcessingActor | INFO | doc_actor.py:59 | [512_32_temp0.8_1:DocProcessingActor] DocProcessingActor initialized
2026-05-06 16:54:43 | DocProcessingActor | INFO | doc_actor.py:96 | [512_32_temp0.8_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 16:54:43 | DocProcessingActor | INFO | doc_actor.py:107 | [512_32_temp0.8_1:DocProcessingActor] Building document index...
2026-05-06 16:54:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 16:54:50 | DocProcessingActor | INFO | doc_actor.py:109 | [512_32_temp0.8_1:DocProcessingActor] Document index built successfully
2026-05-06 16:54:50 | DocProcessingActor | INFO | doc_actor.py:134 | [512_32_temp0.8_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-06 16:54:50 | DocProcessingActor | INFO | doc_actor.py:144 | [512_32_temp0.8_1:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-06 16:54:50 | DocProcessingActor | INFO | doc_actor.py:189 | [512_32_temp0.8_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-06 16:54:50 | Controller | INFO | controller.py:482 | [512_32_temp0.8_1:Controller] Built context 1 (adfade24...) successfully in 30.10s
2026-05-06 16:54:50 | Controller | INFO | controller.py:523 | [512_32_temp0.8_1:Controller] Completed parallel context building for 1 context(s)
2026-05-06 16:54:50 | Controller | INFO | controller.py:920 | [512_32_temp0.8_1:Controller] Created 4 query processing actors (generic pool)
2026-05-06 16:54:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_32_temp0.8_1:Experiment] Created MLflow run: b95c8db8bafa40d886db199fd2e9a322, 1
2026-05-06 16:54:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_32_temp0.8_1:Experiment] Created MLflow run: a9a5f439244d42f7bf706e30f5f1c4a5, 2
2026-05-06 16:54:50 | Controller | INFO | controller.py:931 | [512_32_temp0.8_1:Controller] Initialized scheduler with 2 pipelines, 4 actors, 4 shards
2026-05-06 16:54:50 | Controller | INFO | controller.py:1118 | [512_32_temp0.8_1:Controller] Created experiment-wide rate limiter actor for 2 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 16:54:50 | Controller | INFO | controller.py:1124 | [512_32_temp0.8_1:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 16:54:50 | Controller | INFO | controller.py:1422 | [512_32_temp0.8_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-06 16:55:13 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_32_temp0.8_1:QueryProcessingActor-0] Initializing new inference engine (config hash: b66d675a)
2026-05-06 16:55:13 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_32_temp0.8_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 16:55:13 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_32_temp0.8_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 16:55:13 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_32_temp0.8_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 16:55:13 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_32_temp0.8_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 16:55:13 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_32_temp0.8_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 16:55:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 16:55:15 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_32_temp0.8_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
