2026-05-05 18:00:13 | Experiment | INFO | experiment.py:165 | [512_single_run:Experiment] Experiment 512_single_run created with Experiment ID: 27 at /home/ayliang/rapidfireai/rapidfire_experiments/512_single_run
2026-05-05 18:00:35 | Experiment | INFO | metric_rfmetric_manager.py:55 | [512_single_run:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-05 18:00:35 | Experiment | INFO | metric_rfmetric_manager.py:119 | [512_single_run:Experiment] Creating MLflow experiment: 512_single_run
2026-05-05 18:00:35 | Experiment | INFO | experiment.py:210 | [512_single_run:Experiment] Initialized MetricLogger experiment: 24
2026-05-05 18:00:35 | Experiment | INFO | experiment.py:226 | [512_single_run:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-05 18:00:35 | Experiment | WARNING | experiment.py:381 | [512_single_run:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-05 18:00:35 | Experiment | INFO | experiment.py:383 | [512_single_run:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-05 18:00:35 | Experiment | INFO | experiment.py:392 | [512_single_run:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-05 18:00:36 | Controller | INFO | controller.py:895 | [512_single_run:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-05 18:00:36 | Controller | INFO | controller.py:900 | [512_single_run:Controller] Received 1 pipeline configuration(s)
2026-05-05 18:00:36 | Controller | INFO | controller.py:309 | [512_single_run:Controller] Found 1 unique RAG context(s)
2026-05-05 18:00:36 | Controller | INFO | controller.py:320 | [512_single_run:Controller] Will build new context 8ee2ab2b...
2026-05-05 18:00:36 | Controller | INFO | controller.py:346 | [512_single_run:Controller] Building 1 context(s) in parallel...
2026-05-05 18:00:36 | Controller | INFO | controller.py:373 | [512_single_run:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-05 18:00:37 | Controller | INFO | controller.py:461 | [512_single_run:Controller] Submitted 1 build task(s) in parallel
2026-05-05 18:01:05 | DocProcessingActor | INFO | doc_actor.py:59 | [512_single_run:DocProcessingActor] DocProcessingActor initialized
2026-05-05 18:01:08 | DocProcessingActor | INFO | doc_actor.py:96 | [512_single_run:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 18:01:08 | DocProcessingActor | INFO | doc_actor.py:107 | [512_single_run:DocProcessingActor] Building document index...
2026-05-05 18:01:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 18:01:53 | DocProcessingActor | INFO | doc_actor.py:109 | [512_single_run:DocProcessingActor] Document index built successfully
2026-05-05 18:01:53 | DocProcessingActor | INFO | doc_actor.py:134 | [512_single_run:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 18:01:53 | DocProcessingActor | INFO | doc_actor.py:144 | [512_single_run:DocProcessingActor] FAISS index serialized: 602484 bytes
2026-05-05 18:01:53 | DocProcessingActor | INFO | doc_actor.py:189 | [512_single_run:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 18:01:53 | Controller | INFO | controller.py:482 | [512_single_run:Controller] Built context 1 (8ee2ab2b...) successfully in 77.65s
2026-05-05 18:01:53 | Controller | INFO | controller.py:523 | [512_single_run:Controller] Completed parallel context building for 1 context(s)
2026-05-05 18:01:53 | Controller | INFO | controller.py:920 | [512_single_run:Controller] Created 4 query processing actors (generic pool)
2026-05-05 18:01:53 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_single_run:Experiment] Created MLflow run: 6ad541bad3904292abf2415d53efb601, 1
2026-05-05 18:01:53 | Controller | INFO | controller.py:931 | [512_single_run:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-05 18:01:54 | Controller | INFO | controller.py:1118 | [512_single_run:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-05 18:01:54 | Controller | INFO | controller.py:1124 | [512_single_run:Controller] Starting multi-pipeline inference scheduling...
2026-05-05 18:01:54 | Controller | INFO | controller.py:1422 | [512_single_run:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-05 18:02:26 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_single_run:QueryProcessingActor-0] Initializing new inference engine (config hash: 3b3c8dbe)
2026-05-05 18:02:26 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 18:02:26 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 18:02:26 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 18:02:26 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 18:02:26 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 18:02:26 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 18:02:28 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 20:20:24 | ExperimentUtils | INFO | experiment_utils.py:180 | [512_single_run:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-05 20:20:24 | ExperimentUtils | INFO | experiment_utils.py:188 | [512_single_run:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
