2026-05-05 20:46:11 | DocProcessingActor | INFO | doc_actor.py:59 | [512_single_run_2:DocProcessingActor] DocProcessingActor initialized
2026-05-05 20:46:13 | DocProcessingActor | INFO | doc_actor.py:96 | [512_single_run_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 20:46:13 | DocProcessingActor | INFO | doc_actor.py:107 | [512_single_run_2:DocProcessingActor] Building document index...
2026-05-05 20:46:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:46:18 | DocProcessingActor | INFO | doc_actor.py:109 | [512_single_run_2:DocProcessingActor] Document index built successfully
2026-05-05 20:46:18 | DocProcessingActor | INFO | doc_actor.py:134 | [512_single_run_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 20:46:18 | DocProcessingActor | INFO | doc_actor.py:144 | [512_single_run_2:DocProcessingActor] FAISS index serialized: 619428 bytes
2026-05-05 20:46:18 | DocProcessingActor | INFO | doc_actor.py:189 | [512_single_run_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 20:46:41 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_single_run_2:QueryProcessingActor-0] Initializing new inference engine (config hash: d999cff6)
2026-05-05 20:46:41 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 20:46:41 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 20:46:41 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 20:46:41 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 20:46:41 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 20:46:41 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 20:46:43 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 20:53:01 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run_2:QueryProcessingActor-0] Reusing existing inference engine (config hash: d999cff6)
2026-05-05 20:53:01 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run_2:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
