2026-05-03 21:01:19 | Experiment | INFO | experiment.py:165 | [8_overlap:Experiment] Experiment 8_overlap created with Experiment ID: 11 at /home/ayliang/rapidfireai/rapidfire_experiments/8_overlap
2026-05-03 21:01:36 | Experiment | INFO | metric_rfmetric_manager.py:55 | [8_overlap:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-03 21:01:36 | Experiment | INFO | metric_rfmetric_manager.py:119 | [8_overlap:Experiment] Creating MLflow experiment: 8_overlap
2026-05-03 21:01:36 | Experiment | INFO | experiment.py:210 | [8_overlap:Experiment] Initialized MetricLogger experiment: 11
2026-05-03 21:01:36 | Experiment | INFO | experiment.py:226 | [8_overlap:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-03 21:01:36 | Experiment | WARNING | experiment.py:381 | [8_overlap:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-03 21:01:36 | Experiment | INFO | experiment.py:383 | [8_overlap:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-03 21:01:36 | Experiment | INFO | experiment.py:392 | [8_overlap:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-03 21:01:37 | Controller | INFO | controller.py:895 | [8_overlap:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-03 21:01:37 | Controller | INFO | controller.py:900 | [8_overlap:Controller] Received 8 pipeline configuration(s)
2026-05-03 21:01:37 | Controller | INFO | controller.py:309 | [8_overlap:Controller] Found 2 unique RAG context(s)
2026-05-03 21:01:37 | Controller | INFO | controller.py:320 | [8_overlap:Controller] Will build new context 3aa2dc9d...
2026-05-03 21:01:37 | Controller | INFO | controller.py:320 | [8_overlap:Controller] Will build new context ce2ed8fa...
2026-05-03 21:01:37 | Controller | INFO | controller.py:346 | [8_overlap:Controller] Building 2 context(s) in parallel...
2026-05-03 21:01:37 | Controller | INFO | controller.py:373 | [8_overlap:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-03 21:01:38 | Controller | INFO | controller.py:461 | [8_overlap:Controller] Submitted 2 build task(s) in parallel
2026-05-03 21:01:59 | DocProcessingActor | INFO | doc_actor.py:59 | [8_overlap:DocProcessingActor] DocProcessingActor initialized
2026-05-03 21:01:59 | DocProcessingActor | INFO | doc_actor.py:59 | [8_overlap:DocProcessingActor] DocProcessingActor initialized
2026-05-03 21:02:01 | DocProcessingActor | INFO | doc_actor.py:96 | [8_overlap:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 21:02:01 | DocProcessingActor | INFO | doc_actor.py:107 | [8_overlap:DocProcessingActor] Building document index...
2026-05-03 21:02:01 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 21:02:01 | DocProcessingActor | INFO | doc_actor.py:96 | [8_overlap:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-03 21:02:01 | DocProcessingActor | INFO | doc_actor.py:107 | [8_overlap:DocProcessingActor] Building document index...
2026-05-03 21:02:02 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 21:02:06 | DocProcessingActor | INFO | doc_actor.py:109 | [8_overlap:DocProcessingActor] Document index built successfully
2026-05-03 21:02:06 | DocProcessingActor | INFO | doc_actor.py:134 | [8_overlap:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 21:02:06 | DocProcessingActor | INFO | doc_actor.py:144 | [8_overlap:DocProcessingActor] FAISS index serialized: 598248 bytes
2026-05-03 21:02:06 | DocProcessingActor | INFO | doc_actor.py:189 | [8_overlap:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 21:02:09 | DocProcessingActor | INFO | doc_actor.py:109 | [8_overlap:DocProcessingActor] Document index built successfully
2026-05-03 21:02:09 | DocProcessingActor | INFO | doc_actor.py:134 | [8_overlap:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-03 21:02:09 | DocProcessingActor | INFO | doc_actor.py:144 | [8_overlap:DocProcessingActor] FAISS index serialized: 2645644 bytes
2026-05-03 21:02:09 | DocProcessingActor | INFO | doc_actor.py:189 | [8_overlap:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-03 21:02:09 | Controller | INFO | controller.py:482 | [8_overlap:Controller] Built context 1 (3aa2dc9d...) successfully in 32.26s
2026-05-03 21:02:09 | Controller | INFO | controller.py:482 | [8_overlap:Controller] Built context 2 (ce2ed8fa...) successfully in 32.27s
2026-05-03 21:02:09 | Controller | INFO | controller.py:523 | [8_overlap:Controller] Completed parallel context building for 2 context(s)
2026-05-03 21:02:09 | Controller | INFO | controller.py:920 | [8_overlap:Controller] Created 4 query processing actors (generic pool)
2026-05-03 21:02:09 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: 40cff43a61e0446e9bc546f69dce09bf, 1
2026-05-03 21:02:09 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: e1b65ff73b364d59b7eee9098455870f, 2
2026-05-03 21:02:09 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: c7ed8e6920f345398b5e1ef97df06a97, 3
2026-05-03 21:02:09 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: e8d485f83e9f477b937397b3ce2e8a43, 4
2026-05-03 21:02:10 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: 69a880047e3e4ac1978165b3764d3794, 5
2026-05-03 21:02:10 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: a679cf78e248441e93bb37b518b2e080, 6
2026-05-03 21:02:10 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: dff5c46ccbc04e1fb5da2403f3ecdff1, 7
2026-05-03 21:02:10 | Experiment | INFO | metric_rfmetric_manager.py:141 | [8_overlap:Experiment] Created MLflow run: 7fa826585f2e4386a768c963b8af4fd4, 8
2026-05-03 21:02:10 | Controller | INFO | controller.py:931 | [8_overlap:Controller] Initialized scheduler with 8 pipelines, 4 actors, 4 shards
2026-05-03 21:02:10 | Controller | INFO | controller.py:1118 | [8_overlap:Controller] Created experiment-wide rate limiter actor for 8 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-03 21:02:10 | Controller | INFO | controller.py:1124 | [8_overlap:Controller] Starting multi-pipeline inference scheduling...
2026-05-03 21:02:10 | Controller | INFO | controller.py:1422 | [8_overlap:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-03 21:02:31 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [8_overlap:QueryProcessingActor-0] Initializing new inference engine (config hash: dd22e0da)
2026-05-03 21:02:31 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [8_overlap:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-03 21:02:31 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [8_overlap:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 21:02:31 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [8_overlap:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-03 21:02:31 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [8_overlap:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-03 21:02:31 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [8_overlap:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-03 21:02:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-03 21:02:33 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [8_overlap:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 21:02:33 | Controller | INFO | controller.py:1422 | [8_overlap:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-03 21:02:34 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [8_overlap:QueryProcessingActor-1] Initializing new inference engine (config hash: dd22e0da)
