2026-05-07 11:21:34 | Experiment | INFO | experiment.py:165 | [512_32_temp1_4:Experiment] An experiment with the same name already exists. Created a new experiment '512_32_temp1_4' with Experiment ID: 43 at /home/ayliang/rapidfireai/rapidfire_experiments/512_32_temp1_4
2026-05-07 11:21:52 | Experiment | INFO | metric_rfmetric_manager.py:55 | [512_32_temp1_4:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 11:21:52 | Experiment | INFO | metric_rfmetric_manager.py:119 | [512_32_temp1_4:Experiment] Creating MLflow experiment: 512_32_temp1_4
2026-05-07 11:21:52 | Experiment | INFO | experiment.py:210 | [512_32_temp1_4:Experiment] Initialized MetricLogger experiment: 38
2026-05-07 11:21:52 | Experiment | INFO | experiment.py:226 | [512_32_temp1_4:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 11:21:54 | Experiment | WARNING | experiment.py:381 | [512_32_temp1_4:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 11:21:54 | Experiment | INFO | experiment.py:383 | [512_32_temp1_4:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 11:21:54 | Experiment | INFO | experiment.py:392 | [512_32_temp1_4:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 11:21:55 | Controller | INFO | controller.py:895 | [512_32_temp1_4:Controller] Dataset sharded into 4 shard(s). Shard sizes: [5, 5, 5, 5]
2026-05-07 11:21:55 | Controller | INFO | controller.py:900 | [512_32_temp1_4:Controller] Received 8 pipeline configuration(s)
2026-05-07 11:21:55 | Controller | INFO | controller.py:309 | [512_32_temp1_4:Controller] Found 2 unique RAG context(s)
2026-05-07 11:21:55 | Controller | INFO | controller.py:320 | [512_32_temp1_4:Controller] Will build new context f2150093...
2026-05-07 11:21:55 | Controller | INFO | controller.py:320 | [512_32_temp1_4:Controller] Will build new context efb44e91...
2026-05-07 11:21:55 | Controller | INFO | controller.py:346 | [512_32_temp1_4:Controller] Building 2 context(s) in parallel...
2026-05-07 11:21:55 | Controller | INFO | controller.py:373 | [512_32_temp1_4:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-07 11:21:56 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-07 11:21:57 | Controller | INFO | controller.py:461 | [512_32_temp1_4:Controller] Submitted 2 build task(s) in parallel
2026-05-07 11:22:18 | DocProcessingActor | INFO | doc_actor.py:59 | [512_32_temp1_4:DocProcessingActor] DocProcessingActor initialized
2026-05-07 11:22:19 | DocProcessingActor | INFO | doc_actor.py:59 | [512_32_temp1_4:DocProcessingActor] DocProcessingActor initialized
2026-05-07 11:22:20 | DocProcessingActor | INFO | doc_actor.py:96 | [512_32_temp1_4:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 11:22:20 | DocProcessingActor | INFO | doc_actor.py:107 | [512_32_temp1_4:DocProcessingActor] Building document index...
