2026-05-05 22:25:15 | Experiment | INFO | experiment.py:165 | [512_single_run_4:Experiment] An experiment with the same name already exists. Created a new experiment '512_single_run_4' with Experiment ID: 31 at /home/ayliang/rapidfireai/rapidfire_experiments/512_single_run_4
2026-05-05 22:25:33 | Experiment | INFO | metric_rfmetric_manager.py:55 | [512_single_run_4:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-05 22:25:33 | Experiment | INFO | metric_rfmetric_manager.py:119 | [512_single_run_4:Experiment] Creating MLflow experiment: 512_single_run_4
2026-05-05 22:25:33 | Experiment | INFO | experiment.py:210 | [512_single_run_4:Experiment] Initialized MetricLogger experiment: 28
2026-05-05 22:25:33 | Experiment | INFO | experiment.py:226 | [512_single_run_4:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-05 22:25:33 | Experiment | WARNING | experiment.py:381 | [512_single_run_4:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-05 22:25:33 | Experiment | INFO | experiment.py:383 | [512_single_run_4:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-05 22:25:34 | Experiment | INFO | experiment.py:392 | [512_single_run_4:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-05 22:25:34 | Controller | INFO | controller.py:895 | [512_single_run_4:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-05 22:25:34 | Controller | INFO | controller.py:900 | [512_single_run_4:Controller] Received 1 pipeline configuration(s)
2026-05-05 22:25:34 | Controller | INFO | controller.py:309 | [512_single_run_4:Controller] Found 1 unique RAG context(s)
2026-05-05 22:25:34 | Controller | INFO | controller.py:320 | [512_single_run_4:Controller] Will build new context 1cc4d2b9...
2026-05-05 22:25:34 | Controller | INFO | controller.py:346 | [512_single_run_4:Controller] Building 1 context(s) in parallel...
2026-05-05 22:25:34 | Controller | INFO | controller.py:373 | [512_single_run_4:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-05 22:25:36 | Controller | INFO | controller.py:461 | [512_single_run_4:Controller] Submitted 1 build task(s) in parallel
2026-05-05 22:25:57 | DocProcessingActor | INFO | doc_actor.py:59 | [512_single_run_4:DocProcessingActor] DocProcessingActor initialized
2026-05-05 22:25:59 | DocProcessingActor | INFO | doc_actor.py:96 | [512_single_run_4:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-05 22:25:59 | DocProcessingActor | INFO | doc_actor.py:107 | [512_single_run_4:DocProcessingActor] Building document index...
2026-05-05 22:25:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 22:26:06 | DocProcessingActor | INFO | doc_actor.py:109 | [512_single_run_4:DocProcessingActor] Document index built successfully
2026-05-05 22:26:06 | DocProcessingActor | INFO | doc_actor.py:134 | [512_single_run_4:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-05 22:26:06 | DocProcessingActor | INFO | doc_actor.py:144 | [512_single_run_4:DocProcessingActor] FAISS index serialized: 1276456 bytes
2026-05-05 22:26:06 | DocProcessingActor | INFO | doc_actor.py:189 | [512_single_run_4:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-05 22:26:06 | Controller | INFO | controller.py:482 | [512_single_run_4:Controller] Built context 1 (1cc4d2b9...) successfully in 31.59s
2026-05-05 22:26:06 | Controller | INFO | controller.py:523 | [512_single_run_4:Controller] Completed parallel context building for 1 context(s)
2026-05-05 22:26:06 | Controller | INFO | controller.py:920 | [512_single_run_4:Controller] Created 4 query processing actors (generic pool)
2026-05-05 22:26:06 | Experiment | INFO | metric_rfmetric_manager.py:141 | [512_single_run_4:Experiment] Created MLflow run: a9bb8efe2c8d4f92998453ce7b56ef14, 1
2026-05-05 22:26:06 | Controller | INFO | controller.py:931 | [512_single_run_4:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-05 22:26:06 | Controller | INFO | controller.py:1118 | [512_single_run_4:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 60 RPM, 500000 TPM)
2026-05-05 22:26:06 | Controller | INFO | controller.py:1124 | [512_single_run_4:Controller] Starting multi-pipeline inference scheduling...
2026-05-05 22:26:06 | Controller | INFO | controller.py:1422 | [512_single_run_4:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-05 22:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [512_single_run_4:QueryProcessingActor-0] Initializing new inference engine (config hash: d8d298d7)
2026-05-05 22:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run_4:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 22:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run_4:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 22:26:29 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run_4:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 22:26:30 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run_4:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 22:26:30 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run_4:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 22:26:30 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 22:26:32 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run_4:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 22:33:26 | Controller | INFO | controller.py:1299 | [512_single_run_4:Controller] Pipeline 1 completed shard 0 (1 batches, 414.06s)
2026-05-05 22:33:26 | Controller | INFO | controller.py:1422 | [512_single_run_4:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-05 22:33:26 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run_4:QueryProcessingActor-0] Reusing existing inference engine (config hash: d8d298d7)
2026-05-05 22:33:26 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run_4:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 22:33:26 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run_4:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 22:33:26 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run_4:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 22:33:26 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run_4:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 22:33:26 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run_4:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 22:33:26 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 22:33:28 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run_4:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 22:39:48 | Controller | INFO | controller.py:1299 | [512_single_run_4:Controller] Pipeline 1 completed shard 1 (1 batches, 379.21s)
2026-05-05 22:39:48 | Controller | INFO | controller.py:1422 | [512_single_run_4:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-05 22:39:48 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run_4:QueryProcessingActor-0] Reusing existing inference engine (config hash: d8d298d7)
2026-05-05 22:39:48 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run_4:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 22:39:48 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run_4:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 22:39:48 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run_4:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 22:39:48 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run_4:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 22:39:48 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run_4:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 22:39:48 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 22:39:50 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run_4:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-05 22:46:33 | Controller | INFO | controller.py:1299 | [512_single_run_4:Controller] Pipeline 1 completed shard 2 (1 batches, 403.09s)
2026-05-05 22:46:33 | Controller | INFO | controller.py:1422 | [512_single_run_4:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-05 22:46:33 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [512_single_run_4:QueryProcessingActor-0] Reusing existing inference engine (config hash: d8d298d7)
2026-05-05 22:46:33 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [512_single_run_4:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-05 22:46:33 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [512_single_run_4:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-05 22:46:33 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [512_single_run_4:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-05 22:46:33 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [512_single_run_4:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-05 22:46:33 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [512_single_run_4:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-05 22:46:33 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-05 22:46:35 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [512_single_run_4:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
