2026-05-01 22:04:35 | DocProcessingActor | INFO | doc_actor.py:59 | [early_sub:DocProcessingActor] DocProcessingActor initialized
2026-05-01 22:04:36 | DocProcessingActor | INFO | doc_actor.py:96 | [early_sub:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 22:04:36 | DocProcessingActor | INFO | doc_actor.py:107 | [early_sub:DocProcessingActor] Building document index...
2026-05-01 22:04:37 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:04:39 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 22:04:49 | DocProcessingActor | INFO | doc_actor.py:109 | [early_sub:DocProcessingActor] Document index built successfully
2026-05-01 22:04:49 | DocProcessingActor | INFO | doc_actor.py:134 | [early_sub:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 22:04:49 | DocProcessingActor | INFO | doc_actor.py:144 | [early_sub:DocProcessingActor] FAISS index serialized: 238964 bytes
2026-05-01 22:04:49 | DocProcessingActor | INFO | doc_actor.py:189 | [early_sub:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 22:05:12 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [early_sub:QueryProcessingActor-0] Initializing new inference engine (config hash: d2853180)
2026-05-01 22:05:12 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:05:14 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [early_sub:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:05:14 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [early_sub:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:05:14 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [early_sub:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 22:05:14 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [early_sub:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 22:05:14 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [early_sub:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-01 22:05:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 22:05:16 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [early_sub:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 22:19:53 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [early_sub:QueryProcessingActor-0] Reusing existing inference engine (config hash: d2853180)
2026-05-01 22:19:53 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:19:55 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [early_sub:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 22:19:55 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [early_sub:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 22:19:55 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [early_sub:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 22:19:55 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [early_sub:QueryProcessingActor-0] Created independent FAISS vector store for this actor
