2026-05-01 21:26:26 | Experiment | INFO | experiment.py:165 | [experimentOscar_1:Experiment] An experiment with the same name already exists. Created a new experiment 'experimentOscar_1' with Experiment ID: 7 at /home/ayliang/rapidfireai/rapidfire_experiments/experimentOscar_1
2026-05-01 21:26:45 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experimentOscar_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 21:26:45 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experimentOscar_1:Experiment] Creating MLflow experiment: experimentOscar_1
2026-05-01 21:26:45 | Experiment | INFO | experiment.py:210 | [experimentOscar_1:Experiment] Initialized MetricLogger experiment: 7
2026-05-01 21:26:45 | Experiment | INFO | experiment.py:226 | [experimentOscar_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 21:26:49 | Experiment | WARNING | experiment.py:381 | [experimentOscar_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 21:26:49 | Experiment | INFO | experiment.py:383 | [experimentOscar_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 21:26:49 | Experiment | INFO | experiment.py:392 | [experimentOscar_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 21:26:49 | Controller | INFO | controller.py:895 | [experimentOscar_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 21:26:49 | Controller | INFO | controller.py:900 | [experimentOscar_1:Controller] Received 12 pipeline configuration(s)
2026-05-01 21:26:49 | Controller | INFO | controller.py:309 | [experimentOscar_1:Controller] Found 2 unique RAG context(s)
2026-05-01 21:26:49 | Controller | INFO | controller.py:320 | [experimentOscar_1:Controller] Will build new context e5ba71e4...
2026-05-01 21:26:49 | Controller | INFO | controller.py:320 | [experimentOscar_1:Controller] Will build new context 73c1b7b7...
2026-05-01 21:26:49 | Controller | INFO | controller.py:346 | [experimentOscar_1:Controller] Building 2 context(s) in parallel...
2026-05-01 21:26:49 | Controller | INFO | controller.py:373 | [experimentOscar_1:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-01 21:26:50 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-01 21:26:51 | Controller | INFO | controller.py:461 | [experimentOscar_1:Controller] Submitted 2 build task(s) in parallel
2026-05-01 21:27:11 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar_1:DocProcessingActor] DocProcessingActor initialized
2026-05-01 21:27:12 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar_1:DocProcessingActor] DocProcessingActor initialized
2026-05-01 21:27:12 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 21:27:12 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar_1:DocProcessingActor] Building document index...
2026-05-01 21:27:12 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:27:14 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 21:27:14 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar_1:DocProcessingActor] Building document index...
2026-05-01 21:27:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:27:16 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:27:21 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentOscar_1:DocProcessingActor] Document index built successfully
2026-05-01 21:27:21 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentOscar_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 21:27:21 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentOscar_1:DocProcessingActor] FAISS index serialized: 2654116 bytes
2026-05-01 21:27:21 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentOscar_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 21:27:35 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentOscar_1:DocProcessingActor] Document index built successfully
2026-05-01 21:27:35 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentOscar_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 21:27:35 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentOscar_1:DocProcessingActor] FAISS index serialized: 1051556 bytes
2026-05-01 21:27:35 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentOscar_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 21:27:35 | Controller | INFO | controller.py:482 | [experimentOscar_1:Controller] Built context 1 (e5ba71e4...) successfully in 46.32s
2026-05-01 21:27:35 | Controller | INFO | controller.py:482 | [experimentOscar_1:Controller] Built context 2 (73c1b7b7...) successfully in 46.33s
2026-05-01 21:27:35 | Controller | INFO | controller.py:523 | [experimentOscar_1:Controller] Completed parallel context building for 2 context(s)
2026-05-01 21:27:35 | Controller | INFO | controller.py:920 | [experimentOscar_1:Controller] Created 4 query processing actors (generic pool)
2026-05-01 21:27:35 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 2aed6318ef574606a1d736033effe163, 1
2026-05-01 21:27:35 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: e5e1910f2bc64c908178762722624492, 2
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: d72ef2c3852641a1bceedc87b8f9ac09, 3
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 4b1558e137e54ef59f46b40ff06609dc, 4
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: ab7dcac704ae48f1bf59b7e9876f71a2, 5
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 8b62af4032be48c595f77bf4aee182f9, 6
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 989e4ac85e6045e4991f7489196b947d, 7
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 899984a869d74eb8b53687d239f9e64f, 8
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 4408d58299d64fda9c2fd1b0c7c647d2, 9
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: d56ffb7bc81b40faa2c4ade49dee0fc8, 10
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: 821f9c3574524877a83c9fa50f5c8bc7, 11
2026-05-01 21:27:36 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_1:Experiment] Created MLflow run: dee2718acdfc49ebabd64342e331f74b, 12
2026-05-01 21:27:36 | Controller | INFO | controller.py:931 | [experimentOscar_1:Controller] Initialized scheduler with 12 pipelines, 4 actors, 4 shards
2026-05-01 21:27:36 | Controller | INFO | controller.py:1118 | [experimentOscar_1:Controller] Created experiment-wide rate limiter actor for 12 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-01 21:27:36 | Controller | INFO | controller.py:1124 | [experimentOscar_1:Controller] Starting multi-pipeline inference scheduling...
2026-05-01 21:27:36 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-01 21:27:58 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experimentOscar_1:QueryProcessingActor-0] Initializing new inference engine (config hash: 565f69a7)
2026-05-01 21:27:59 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:28:00 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 21:28:00 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:28:00 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 21:28:00 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 21:28:00 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-01 21:28:01 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:28:02 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 21:28:02 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-01 21:28:02 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experimentOscar_1:QueryProcessingActor-1] Initializing new inference engine (config hash: 565f69a7)
2026-05-01 21:28:02 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:28:04 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 21:28:04 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:28:04 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-01 21:28:04 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-01 21:28:04 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-01 21:28:04 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 21:28:11 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-01 21:28:11 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-01 21:28:11 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experimentOscar_1:QueryProcessingActor-2] Initializing new inference engine (config hash: 565f69a7)
2026-05-01 21:28:11 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:28:13 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 21:28:13 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:28:13 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 21:28:13 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 21:28:13 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-01 21:28:13 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:28:14 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 21:28:14 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
2026-05-01 21:28:14 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [experimentOscar_1:QueryProcessingActor-3] Initializing new inference engine (config hash: 565f69a7)
2026-05-01 21:28:15 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:28:16 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 21:28:16 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:28:16 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-01 21:28:16 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-01 21:28:16 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-3] Recreated retriever with search_type=mmr
2026-05-01 21:28:17 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 21:28:19 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-01 21:30:06 | Controller | INFO | controller.py:1299 | [experimentOscar_1:Controller] Pipeline 1 completed shard 0 (1 batches, 123.52s)
2026-05-01 21:30:06 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 5 (Pipeline 5) on actor 0 for shard 0 (1 batches)
2026-05-01 21:30:06 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 565f69a7)
2026-05-01 21:30:06 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:30:08 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 21:30:08 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:30:08 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 21:30:08 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 21:30:08 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 21:30:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:30:09 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 21:31:29 | Controller | INFO | controller.py:1299 | [experimentOscar_1:Controller] Pipeline 3 completed shard 0 (1 batches, 194.82s)
2026-05-01 21:31:29 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 2 for shard 0 (1 batches)
2026-05-01 21:31:29 | QueryProcessingActor-2 | INFO | query_actor.py:169 | [experimentOscar_1:QueryProcessingActor-2] Reusing existing inference engine (config hash: 565f69a7)
2026-05-01 21:31:30 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 21:31:31 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 21:31:31 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:31:31 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-01 21:31:31 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-01 21:31:31 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-2] Recreated retriever with search_type=similarity_score_threshold
2026-05-01 21:31:31 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-01 21:31:33 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-01 21:35:54 | Controller | INFO | controller.py:1299 | [experimentOscar_1:Controller] Pipeline 5 completed shard 0 (1 batches, 345.17s)
2026-05-01 21:35:54 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 0 for shard 0 (1 batches)
2026-05-01 21:35:54 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experimentOscar_1:QueryProcessingActor-0] Reusing existing inference engine (config hash: 565f69a7)
2026-05-01 21:35:54 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-01 21:35:54 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_1:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-01 21:35:54 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentOscar_1:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-01 21:35:54 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentOscar_1:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-01 21:35:54 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentOscar_1:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-01 21:35:55 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 21:35:56 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentOscar_1:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-01 21:37:49 | Controller | INFO | controller.py:1299 | [experimentOscar_1:Controller] Pipeline 4 completed shard 0 (1 batches, 570.65s)
2026-05-01 21:37:49 | Controller | INFO | controller.py:1422 | [experimentOscar_1:Controller] Scheduling pipeline 8 (Pipeline 8) on actor 3 for shard 0 (1 batches)
2026-05-01 21:37:50 | QueryProcessingActor-3 | INFO | query_actor.py:169 | [experimentOscar_1:QueryProcessingActor-3] Reusing existing inference engine (config hash: 565f69a7)
2026-05-01 21:37:50 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experimentOscar_1:QueryProcessingActor-3] Recreated embedding function: OpenAIEmbeddings
