2026-05-03 19:34:54 | Experiment | INFO | experiment.py:165 | [experiment_exploration_fixed_chunking:Experiment] Experiment experiment_exploration_fixed_chunking created with Experiment ID: 9 at /home/ayliang/rapidfireai/rapidfire_experiments/experiment_exploration_fixed_chunking
2026-05-03 19:35:12 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration_fixed_chunking:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-03 19:35:12 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration_fixed_chunking:Experiment] Creating MLflow experiment: experiment_exploration_fixed_chunking
2026-05-03 19:35:12 | Experiment | INFO | experiment.py:210 | [experiment_exploration_fixed_chunking:Experiment] Initialized MetricLogger experiment: 9
2026-05-03 19:35:12 | Experiment | INFO | experiment.py:226 | [experiment_exploration_fixed_chunking:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-03 19:35:14 | Experiment | WARNING | experiment.py:381 | [experiment_exploration_fixed_chunking:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-03 19:35:14 | Experiment | INFO | experiment.py:383 | [experiment_exploration_fixed_chunking:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-03 19:35:14 | Experiment | INFO | experiment.py:392 | [experiment_exploration_fixed_chunking:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-03 19:35:14 | Controller | INFO | controller.py:895 | [experiment_exploration_fixed_chunking:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-03 19:35:14 | Controller | INFO | controller.py:900 | [experiment_exploration_fixed_chunking:Controller] Received 8 pipeline configuration(s)
2026-05-03 19:35:14 | Controller | INFO | controller.py:309 | [experiment_exploration_fixed_chunking:Controller] Found 2 unique RAG context(s)
2026-05-03 19:35:14 | Controller | INFO | controller.py:320 | [experiment_exploration_fixed_chunking:Controller] Will build new context 826aeca9...
2026-05-03 19:35:14 | Controller | INFO | controller.py:320 | [experiment_exploration_fixed_chunking:Controller] Will build new context 8fccf3bd...
2026-05-03 19:35:14 | Controller | INFO | controller.py:346 | [experiment_exploration_fixed_chunking:Controller] Building 2 context(s) in parallel...
2026-05-03 19:35:14 | Controller | INFO | controller.py:373 | [experiment_exploration_fixed_chunking:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-03 19:35:16 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-03 19:35:16 | Controller | INFO | controller.py:461 | [experiment_exploration_fixed_chunking:Controller] Submitted 2 build task(s) in parallel
