2026-05-07 14:27:00 | Experiment | INFO | experiment.py:165 | [retry:Experiment] Experiment retry created with Experiment ID: 46 at /home/ayliang/rapidfireai/rapidfire_experiments/retry
2026-05-07 14:27:20 | Experiment | INFO | metric_rfmetric_manager.py:55 | [retry:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 14:27:20 | Experiment | INFO | metric_rfmetric_manager.py:119 | [retry:Experiment] Creating MLflow experiment: retry
2026-05-07 14:27:20 | Experiment | INFO | experiment.py:210 | [retry:Experiment] Initialized MetricLogger experiment: 41
2026-05-07 14:27:20 | Experiment | INFO | experiment.py:226 | [retry:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 14:27:20 | Experiment | WARNING | experiment.py:381 | [retry:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 14:27:20 | Experiment | INFO | experiment.py:383 | [retry:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 14:27:20 | Experiment | INFO | experiment.py:392 | [retry:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 14:27:21 | Controller | INFO | controller.py:895 | [retry:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-07 14:27:21 | Controller | INFO | controller.py:900 | [retry:Controller] Received 3 pipeline configuration(s)
2026-05-07 14:27:21 | Controller | INFO | controller.py:309 | [retry:Controller] Found 1 unique RAG context(s)
2026-05-07 14:27:21 | Controller | INFO | controller.py:320 | [retry:Controller] Will build new context 6ac12e83...
2026-05-07 14:27:21 | Controller | INFO | controller.py:346 | [retry:Controller] Building 1 context(s) in parallel...
2026-05-07 14:27:21 | Controller | INFO | controller.py:373 | [retry:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 14:27:22 | Controller | INFO | controller.py:461 | [retry:Controller] Submitted 1 build task(s) in parallel
2026-05-07 14:27:44 | DocProcessingActor | INFO | doc_actor.py:59 | [retry:DocProcessingActor] DocProcessingActor initialized
2026-05-07 14:27:46 | DocProcessingActor | INFO | doc_actor.py:96 | [retry:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 14:27:46 | DocProcessingActor | INFO | doc_actor.py:107 | [retry:DocProcessingActor] Building document index...
2026-05-07 14:27:47 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:27:50 | DocProcessingActor | INFO | doc_actor.py:109 | [retry:DocProcessingActor] Document index built successfully
2026-05-07 14:27:50 | DocProcessingActor | INFO | doc_actor.py:134 | [retry:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 14:27:50 | DocProcessingActor | INFO | doc_actor.py:144 | [retry:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 14:27:50 | DocProcessingActor | INFO | doc_actor.py:189 | [retry:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 14:27:50 | Controller | INFO | controller.py:482 | [retry:Controller] Built context 1 (6ac12e83...) successfully in 29.25s
2026-05-07 14:27:50 | Controller | INFO | controller.py:523 | [retry:Controller] Completed parallel context building for 1 context(s)
2026-05-07 14:27:50 | Controller | INFO | controller.py:920 | [retry:Controller] Created 4 query processing actors (generic pool)
2026-05-07 14:27:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [retry:Experiment] Created MLflow run: c07221714154434ca3205a53a3f1f9c8, 1
2026-05-07 14:27:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [retry:Experiment] Created MLflow run: bfdacd5a1da24c4086673bd0cf65c152, 2
2026-05-07 14:27:51 | Experiment | INFO | metric_rfmetric_manager.py:141 | [retry:Experiment] Created MLflow run: 463f905d4c6749eca827dd282f10758b, 3
2026-05-07 14:27:51 | Controller | INFO | controller.py:931 | [retry:Controller] Initialized scheduler with 3 pipelines, 4 actors, 4 shards
2026-05-07 14:27:51 | Controller | INFO | controller.py:1118 | [retry:Controller] Created experiment-wide rate limiter actor for 3 OpenAI pipeline(s) with per-model limits (api-gpt-oss-120b: 120 RPM, 1000000 TPM)
2026-05-07 14:27:51 | Controller | INFO | controller.py:1124 | [retry:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 14:27:51 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 14:28:14 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [retry:QueryProcessingActor-0] Initializing new inference engine (config hash: 7fa112dc)
2026-05-07 14:28:15 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:28:15 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:28:15 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 14:28:15 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 14:28:15 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 14:28:15 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:28:17 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 14:28:17 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-07 14:28:17 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [retry:QueryProcessingActor-1] Initializing new inference engine (config hash: 7fa112dc)
2026-05-07 14:28:17 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-1] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:28:17 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:28:17 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-07 14:28:17 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-07 14:28:17 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-07 14:28:17 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:28:19 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-07 14:28:19 | Controller | INFO | controller.py:1422 | [retry:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-07 14:28:19 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [retry:QueryProcessingActor-2] Initializing new inference engine (config hash: 7fa112dc)
2026-05-07 14:28:19 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [retry:QueryProcessingActor-2] Recreated embedding function: OpenAIEmbeddings
2026-05-07 14:28:19 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [retry:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 14:28:19 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [retry:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-07 14:28:19 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [retry:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-07 14:28:19 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [retry:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-07 14:28:20 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 14:28:22 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [retry:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-07 14:38:14 | Controller | INFO | controller.py:1299 | [retry:Controller] Pipeline 1 completed shard 0 (1 batches, 597.15s)
