2026-05-01 20:22:47 | Experiment | INFO | experiment.py:165 | [experimentOscar:Experiment] Experiment experimentOscar created with Experiment ID: 6 at /home/ayliang/rapidfireai/rapidfire_experiments/experimentOscar
2026-05-01 20:23:06 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experimentOscar:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 20:23:06 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experimentOscar:Experiment] Creating MLflow experiment: experimentOscar
2026-05-01 20:23:06 | Experiment | INFO | experiment.py:210 | [experimentOscar:Experiment] Initialized MetricLogger experiment: 6
2026-05-01 20:23:06 | Experiment | INFO | experiment.py:226 | [experimentOscar:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 20:23:07 | Experiment | WARNING | experiment.py:381 | [experimentOscar:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 20:23:07 | Experiment | INFO | experiment.py:383 | [experimentOscar:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 20:23:07 | Experiment | INFO | experiment.py:392 | [experimentOscar:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 20:23:07 | Controller | INFO | controller.py:895 | [experimentOscar:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 20:23:07 | Controller | INFO | controller.py:900 | [experimentOscar:Controller] Received 12 pipeline configuration(s)
2026-05-01 20:23:07 | Controller | INFO | controller.py:309 | [experimentOscar:Controller] Found 2 unique RAG context(s)
2026-05-01 20:23:07 | Controller | INFO | controller.py:320 | [experimentOscar:Controller] Will build new context 1ae8bee2...
2026-05-01 20:23:07 | Controller | INFO | controller.py:320 | [experimentOscar:Controller] Will build new context 7f369bce...
2026-05-01 20:23:07 | Controller | INFO | controller.py:346 | [experimentOscar:Controller] Building 2 context(s) in parallel...
2026-05-01 20:23:07 | Controller | INFO | controller.py:373 | [experimentOscar:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-01 20:23:08 | Controller | INFO | controller.py:461 | [experimentOscar:Controller] Submitted 2 build task(s) in parallel
2026-05-01 20:23:28 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar:DocProcessingActor] DocProcessingActor initialized
2026-05-01 20:23:29 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar:DocProcessingActor] DocProcessingActor initialized
2026-05-01 20:23:30 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 20:23:30 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar:DocProcessingActor] Building document index...
2026-05-01 20:23:30 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:23:31 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 20:23:31 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar:DocProcessingActor] Building document index...
2026-05-01 20:23:32 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:23:33 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:25:14 | ExperimentUtils | INFO | experiment_utils.py:180 | [experimentOscar:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-01 20:25:14 | ExperimentUtils | INFO | experiment_utils.py:188 | [experimentOscar:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-01 20:25:14 | Experiment | INFO | experiment.py:165 | [experimentOscar:Experiment] Experiment experimentOscar is currently running. Returning the same experiment object.
2026-05-01 20:25:14 | Experiment | INFO | experiment.py:165 | [experimentOscar:Experiment] Any running tasks have been cancelled.
2026-05-01 20:25:33 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experimentOscar:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 20:25:33 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experimentOscar:Experiment] Creating MLflow experiment: experimentOscar
2026-05-01 20:25:33 | Experiment | WARNING | experiment.py:212 | [experimentOscar:Experiment] Failed to initialize MetricLogger: RESOURCE_ALREADY_EXISTS: Experiment(name=experimentOscar) already exists. Error: (sqlite3.IntegrityError) UNIQUE constraint failed: experiments.workspace, experiments.name
[SQL: INSERT INTO experiments (name, workspace, artifact_location, lifecycle_stage, creation_time, last_update_time) VALUES (?, ?, ?, ?, ?, ?)]
[parameters: ('experimentOscar', 'default', '', 'active', 1777692333149, 1777692333149)]
(Background on this error at: https://sqlalche.me/e/20/gkpj). MetricLogger logging will be disabled.
2026-05-01 20:25:33 | Experiment | INFO | experiment.py:226 | [experimentOscar:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 20:25:33 | Experiment | WARNING | experiment.py:381 | [experimentOscar:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 20:25:33 | Experiment | INFO | experiment.py:383 | [experimentOscar:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 20:25:33 | Experiment | INFO | experiment.py:392 | [experimentOscar:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 20:25:34 | Controller | INFO | controller.py:895 | [experimentOscar:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 20:25:34 | Controller | INFO | controller.py:900 | [experimentOscar:Controller] Received 12 pipeline configuration(s)
2026-05-01 20:25:34 | Controller | INFO | controller.py:309 | [experimentOscar:Controller] Found 2 unique RAG context(s)
2026-05-01 20:25:34 | Controller | INFO | controller.py:320 | [experimentOscar:Controller] Will build new context 1ae8bee2...
2026-05-01 20:25:34 | Controller | INFO | controller.py:320 | [experimentOscar:Controller] Will build new context 7f369bce...
2026-05-01 20:25:34 | Controller | INFO | controller.py:346 | [experimentOscar:Controller] Building 2 context(s) in parallel...
2026-05-01 20:25:34 | Controller | INFO | controller.py:373 | [experimentOscar:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-01 20:25:35 | Controller | INFO | controller.py:461 | [experimentOscar:Controller] Submitted 2 build task(s) in parallel
2026-05-01 20:25:55 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar:DocProcessingActor] DocProcessingActor initialized
2026-05-01 20:25:56 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar:DocProcessingActor] DocProcessingActor initialized
2026-05-01 20:25:56 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 20:25:56 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar:DocProcessingActor] Building document index...
2026-05-01 20:25:57 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 20:25:58 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 20:25:58 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar:DocProcessingActor] Building document index...
2026-05-01 20:25:58 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:25:59 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 20:26:12 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentOscar:DocProcessingActor] Document index built successfully
2026-05-01 20:26:12 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentOscar:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 20:26:12 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentOscar:DocProcessingActor] FAISS index serialized: 2654116 bytes
2026-05-01 20:26:12 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentOscar:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 20:26:18 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentOscar:DocProcessingActor] Document index built successfully
2026-05-01 20:26:18 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentOscar:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 20:26:18 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentOscar:DocProcessingActor] FAISS index serialized: 1051556 bytes
2026-05-01 20:26:18 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentOscar:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 20:26:18 | Controller | INFO | controller.py:482 | [experimentOscar:Controller] Built context 1 (1ae8bee2...) successfully in 43.78s
2026-05-01 20:26:18 | Controller | INFO | controller.py:482 | [experimentOscar:Controller] Built context 2 (7f369bce...) successfully in 43.79s
2026-05-01 20:26:18 | Controller | INFO | controller.py:523 | [experimentOscar:Controller] Completed parallel context building for 2 context(s)
2026-05-01 20:26:18 | Controller | INFO | controller.py:920 | [experimentOscar:Controller] Created 4 query processing actors (generic pool)
2026-05-01 20:26:18 | Controller | INFO | controller.py:931 | [experimentOscar:Controller] Initialized scheduler with 12 pipelines, 4 actors, 4 shards
