2026-05-01 22:04:04 | Experiment | INFO | experiment.py:165 | [experiment_exploration:Experiment] Experiment experiment_exploration created with Experiment ID: 24 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_exploration
2026-05-01 22:04:23 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 22:04:23 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration:Experiment] Creating MLflow experiment: experiment_exploration
2026-05-01 22:04:23 | Experiment | INFO | experiment.py:210 | [experiment_exploration:Experiment] Initialized MetricLogger experiment: 21
2026-05-01 22:04:23 | Experiment | INFO | experiment.py:226 | [experiment_exploration:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 22:04:24 | Experiment | WARNING | experiment.py:381 | [experiment_exploration:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 22:04:24 | Experiment | INFO | experiment.py:383 | [experiment_exploration:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 22:04:24 | Experiment | INFO | experiment.py:392 | [experiment_exploration:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 22:04:24 | Controller | INFO | controller.py:895 | [experiment_exploration:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 22:04:24 | Controller | INFO | controller.py:900 | [experiment_exploration:Controller] Received 4 pipeline configuration(s)
2026-05-01 22:04:24 | Controller | INFO | controller.py:309 | [experiment_exploration:Controller] Found 1 unique RAG context(s)
2026-05-01 22:04:24 | Controller | INFO | controller.py:320 | [experiment_exploration:Controller] Will build new context bc9b4c46...
2026-05-01 22:04:24 | Controller | INFO | controller.py:346 | [experiment_exploration:Controller] Building 1 context(s) in parallel...
2026-05-01 22:04:24 | Controller | INFO | controller.py:373 | [experiment_exploration:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-01 22:04:25 | Controller | INFO | controller.py:461 | [experiment_exploration:Controller] Submitted 1 build task(s) in parallel
2026-05-01 22:04:48 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration:DocProcessingActor] DocProcessingActor initialized
2026-05-01 22:04:49 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 22:04:49 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration:DocProcessingActor] Building document index...
2026-05-01 22:04:49 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 22:04:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 22:05:11 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration:DocProcessingActor] Document index built successfully
2026-05-01 22:05:11 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 22:05:11 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration:DocProcessingActor] FAISS index serialized: 1051556 bytes
2026-05-01 22:05:11 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 22:05:11 | Controller | INFO | controller.py:482 | [experiment_exploration:Controller] Built context 1 (bc9b4c46...) successfully in 46.93s
2026-05-01 22:05:11 | Controller | INFO | controller.py:523 | [experiment_exploration:Controller] Completed parallel context building for 1 context(s)
2026-05-01 22:05:11 | Controller | INFO | controller.py:920 | [experiment_exploration:Controller] Created 4 query processing actors (generic pool)
