2026-05-02 00:03:58 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_2:DocProcessingActor] DocProcessingActor initialized
2026-05-02 00:03:59 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 00:03:59 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_2:DocProcessingActor] Building document index...
2026-05-02 00:03:59 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:04:01 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:04:18 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_2:DocProcessingActor] Document index built successfully
2026-05-02 00:04:18 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_2:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 00:04:18 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_2:DocProcessingActor] FAISS index serialized: 1051556 bytes
2026-05-02 00:04:18 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_2:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 00:04:41 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_exploration_2:QueryProcessingActor-0] Initializing new inference engine (config hash: 8c9e8299)
2026-05-02 00:04:41 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:04:43 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:04:43 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:04:43 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-02 00:04:43 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-02 00:04:43 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-02 00:04:43 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:04:44 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-02 00:04:44 | QueryProcessingActor-1 | INFO | query_actor.py:165 | [experiment_exploration_2:QueryProcessingActor-1] Initializing new inference engine (config hash: 8c9e8299)
2026-05-02 00:04:44 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:04:46 | QueryProcessingActor-1 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-1] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:04:46 | QueryProcessingActor-1 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-1] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:04:46 | QueryProcessingActor-1 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-1] Deserializing FAISS index for this actor...
2026-05-02 00:04:46 | QueryProcessingActor-1 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-1] Created independent FAISS vector store for this actor
2026-05-02 00:04:46 | QueryProcessingActor-1 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-1] Recreated retriever with search_type=similarity
2026-05-02 00:04:46 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 00:04:48 | QueryProcessingActor-1 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-1] Recreated RAG spec with retrieval mode
2026-05-02 00:04:49 | QueryProcessingActor-2 | INFO | query_actor.py:165 | [experiment_exploration_2:QueryProcessingActor-2] Initializing new inference engine (config hash: 8c9e8299)
2026-05-02 00:04:49 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:04:51 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:04:51 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:04:51 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-02 00:04:51 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [experiment_exploration_2:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-02 00:04:51 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [experiment_exploration_2:QueryProcessingActor-2] Recreated retriever with search_type=mmr
2026-05-02 00:04:51 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:04:52 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [experiment_exploration_2:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-02 00:04:52 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [experiment_exploration_2:QueryProcessingActor-3] Initializing new inference engine (config hash: 8c9e8299)
2026-05-02 00:04:53 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [experiment_exploration_2:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [experiment_exploration_2:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-02 00:04:54 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [experiment_exploration_2:QueryProcessingActor-3] Deserializing FAISS index for this actor...
