2026-05-02 09:12:59 | Experiment | INFO | experiment.py:165 | [experiment_exploration_chunk_grid_1:Experiment] An experiment with the same name already exists. Created a new experiment 'experiment_exploration_chunk_grid_1' with Experiment ID: 30 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_exploration_chunk_grid_1
2026-05-02 09:13:17 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration_chunk_grid_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 09:13:17 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration_chunk_grid_1:Experiment] Creating MLflow experiment: experiment_exploration_chunk_grid_1
2026-05-02 09:13:17 | Experiment | INFO | experiment.py:210 | [experiment_exploration_chunk_grid_1:Experiment] Initialized MetricLogger experiment: 27
2026-05-02 09:13:17 | Experiment | INFO | experiment.py:226 | [experiment_exploration_chunk_grid_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 09:13:20 | Experiment | WARNING | experiment.py:381 | [experiment_exploration_chunk_grid_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 09:13:20 | Experiment | INFO | experiment.py:383 | [experiment_exploration_chunk_grid_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-02 09:13:20 | Experiment | INFO | experiment.py:392 | [experiment_exploration_chunk_grid_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 09:13:20 | Controller | INFO | controller.py:895 | [experiment_exploration_chunk_grid_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 09:13:20 | Controller | INFO | controller.py:900 | [experiment_exploration_chunk_grid_1:Controller] Received 36 pipeline configuration(s)
2026-05-02 09:13:20 | Controller | INFO | controller.py:309 | [experiment_exploration_chunk_grid_1:Controller] Found 9 unique RAG context(s)
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context fc514e3d...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context 175206ff...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context b067026c...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context 86fde9c0...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context 775e6558...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context beff3518...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context e4d7f35e...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context 5268762b...
2026-05-02 09:13:20 | Controller | INFO | controller.py:320 | [experiment_exploration_chunk_grid_1:Controller] Will build new context f7636b01...
2026-05-02 09:13:20 | Controller | INFO | controller.py:346 | [experiment_exploration_chunk_grid_1:Controller] Building 9 context(s) in parallel...
2026-05-02 09:13:20 | Controller | INFO | controller.py:373 | [experiment_exploration_chunk_grid_1:Controller] Creating 9 DocProcessingActor(s) for parallel processing
2026-05-02 09:13:21 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-02 09:13:22 | Controller | INFO | controller.py:461 | [experiment_exploration_chunk_grid_1:Controller] Submitted 9 build task(s) in parallel
2026-05-02 09:13:42 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:13:42 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:13:42 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:13:42 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:13:43 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:13:43 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:13:44 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:13:44 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:13:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:13:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:13:44 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:13:44 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:13:44 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:13:44 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:13:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:13:45 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:13:56 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:13:56 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:13:56 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 2645644 bytes
2026-05-02 09:13:56 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 5672964 bytes
2026-05-02 09:13:59 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:13:59 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 1 (fc514e3d...) successfully in 39.37s
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 5753640 bytes
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:14:00 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 2 (175206ff...) successfully in 39.54s
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Document index built successfully
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_chunk_grid_1:DocProcessingActor] FAISS index serialized: 6271072 bytes
2026-05-02 09:14:00 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 09:14:00 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 3 (b067026c...) successfully in 40.11s
2026-05-02 09:14:00 | Controller | INFO | controller.py:482 | [experiment_exploration_chunk_grid_1:Controller] Built context 4 (86fde9c0...) successfully in 40.13s
2026-05-02 09:14:20 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:20 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:20 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:21 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:14:22 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_1:DocProcessingActor] Building document index...
2026-05-02 09:14:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:14:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:14:22 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
