2026-05-07 21:11:00 | Experiment | INFO | experiment.py:165 | [experimentCompareTikTok:Experiment] Experiment experimentCompareTikTok created with Experiment ID: 66 at /home/ostran/rapidfireai/rapidfire_experiments/experimentCompareTikTok
2026-05-07 21:11:18 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experimentCompareTikTok:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 21:11:18 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experimentCompareTikTok:Experiment] Creating MLflow experiment: experimentCompareTikTok
2026-05-07 21:11:18 | Experiment | INFO | experiment.py:210 | [experimentCompareTikTok:Experiment] Initialized MetricLogger experiment: 58
2026-05-07 21:11:18 | Experiment | INFO | experiment.py:226 | [experimentCompareTikTok:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 21:11:18 | Experiment | WARNING | experiment.py:381 | [experimentCompareTikTok:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 21:11:18 | Experiment | INFO | experiment.py:383 | [experimentCompareTikTok:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 21:11:18 | Experiment | INFO | experiment.py:392 | [experimentCompareTikTok:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 21:11:19 | Controller | INFO | controller.py:895 | [experimentCompareTikTok:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-07 21:11:19 | Controller | INFO | controller.py:900 | [experimentCompareTikTok:Controller] Received 1 pipeline configuration(s)
2026-05-07 21:11:19 | Controller | INFO | controller.py:309 | [experimentCompareTikTok:Controller] Found 1 unique RAG context(s)
2026-05-07 21:11:19 | Controller | INFO | controller.py:320 | [experimentCompareTikTok:Controller] Will build new context 6ca0d683...
2026-05-07 21:11:19 | Controller | INFO | controller.py:346 | [experimentCompareTikTok:Controller] Building 1 context(s) in parallel...
2026-05-07 21:11:19 | Controller | INFO | controller.py:373 | [experimentCompareTikTok:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 21:11:20 | Controller | INFO | controller.py:461 | [experimentCompareTikTok:Controller] Submitted 1 build task(s) in parallel
2026-05-07 21:11:41 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentCompareTikTok:DocProcessingActor] DocProcessingActor initialized
2026-05-07 21:11:43 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentCompareTikTok:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 21:11:43 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentCompareTikTok:DocProcessingActor] Building document index...
2026-05-07 21:11:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:11:47 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentCompareTikTok:DocProcessingActor] Document index built successfully
2026-05-07 21:11:47 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentCompareTikTok:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 21:11:47 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentCompareTikTok:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 21:11:47 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentCompareTikTok:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 21:11:47 | Controller | INFO | controller.py:482 | [experimentCompareTikTok:Controller] Built context 1 (6ca0d683...) successfully in 28.25s
2026-05-07 21:11:47 | Controller | INFO | controller.py:523 | [experimentCompareTikTok:Controller] Completed parallel context building for 1 context(s)
2026-05-07 21:11:47 | Controller | INFO | controller.py:920 | [experimentCompareTikTok:Controller] Created 4 query processing actors (generic pool)
2026-05-07 21:11:47 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentCompareTikTok:Experiment] Created MLflow run: fa0a0c1c153f462e8f004f92a3f2630f, 1
2026-05-07 21:11:47 | Controller | INFO | controller.py:931 | [experimentCompareTikTok:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-07 21:11:47 | Controller | INFO | controller.py:1118 | [experimentCompareTikTok:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-gpt-oss-120b: 120 RPM, 1000000 TPM)
2026-05-07 21:11:47 | Controller | INFO | controller.py:1124 | [experimentCompareTikTok:Controller] Starting multi-pipeline inference scheduling...
2026-05-07 21:11:47 | Controller | INFO | controller.py:1422 | [experimentCompareTikTok:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-07 21:12:10 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experimentCompareTikTok:QueryProcessingActor-0] Initializing new inference engine (config hash: 2f248ffd)
2026-05-07 21:12:10 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentCompareTikTok:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-07 21:12:10 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentCompareTikTok:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-07 21:12:10 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experimentCompareTikTok:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-07 21:12:10 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experimentCompareTikTok:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-07 21:12:10 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experimentCompareTikTok:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-07 21:12:10 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 21:12:12 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experimentCompareTikTok:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-07 21:20:59 | ExperimentUtils | INFO | experiment_utils.py:180 | [experimentCompareTikTok:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 21:20:59 | ExperimentUtils | INFO | experiment_utils.py:188 | [experimentCompareTikTok:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 21:20:59 | ExperimentUtils | INFO | experiment_utils.py:154 | [experimentCompareTikTok:ExperimentUtils] Experiment experimentCompareTikTok ended
2026-05-07 21:21:01 | Experiment | INFO | experiment.py:574 | [experimentCompareTikTok:Experiment] All actors shut down
2026-05-07 21:21:01 | Experiment | INFO | experiment.py:575 | [experimentCompareTikTok:Experiment] Dispatcher will automatically shut down (daemon thread)
