2026-05-07 20:24:17 | Experiment | INFO | experiment.py:165 | [experimentCompareWS:Experiment] Experiment experimentCompareWS created with Experiment ID: 65 at /home/ostran/rapidfireai/rapidfire_experiments/experimentCompareWS
2026-05-07 20:24:35 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experimentCompareWS:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 20:24:35 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experimentCompareWS:Experiment] Creating MLflow experiment: experimentCompareWS
2026-05-07 20:24:35 | Experiment | INFO | experiment.py:210 | [experimentCompareWS:Experiment] Initialized MetricLogger experiment: 57
2026-05-07 20:24:35 | Experiment | INFO | experiment.py:226 | [experimentCompareWS:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 20:24:36 | Experiment | WARNING | experiment.py:381 | [experimentCompareWS:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 20:24:36 | Experiment | INFO | experiment.py:383 | [experimentCompareWS:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 20:24:36 | Experiment | INFO | experiment.py:392 | [experimentCompareWS:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 20:24:36 | Controller | INFO | controller.py:895 | [experimentCompareWS:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-07 20:24:36 | Controller | INFO | controller.py:900 | [experimentCompareWS:Controller] Received 1 pipeline configuration(s)
2026-05-07 20:24:36 | Controller | INFO | controller.py:309 | [experimentCompareWS:Controller] Found 1 unique RAG context(s)
2026-05-07 20:24:36 | Controller | INFO | controller.py:320 | [experimentCompareWS:Controller] Will build new context 7838618b...
2026-05-07 20:24:36 | Controller | INFO | controller.py:346 | [experimentCompareWS:Controller] Building 1 context(s) in parallel...
2026-05-07 20:24:36 | Controller | INFO | controller.py:373 | [experimentCompareWS:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 20:24:38 | Controller | INFO | controller.py:461 | [experimentCompareWS:Controller] Submitted 1 build task(s) in parallel
2026-05-07 20:24:58 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentCompareWS:DocProcessingActor] DocProcessingActor initialized
2026-05-07 20:24:59 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentCompareWS:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 20:24:59 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentCompareWS:DocProcessingActor] Building document index...
2026-05-07 20:25:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 20:25:06 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentCompareWS:DocProcessingActor] Document index built successfully
2026-05-07 20:25:06 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentCompareWS:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 20:25:06 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentCompareWS:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 20:25:06 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentCompareWS:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 20:25:06 | Controller | INFO | controller.py:482 | [experimentCompareWS:Controller] Built context 1 (7838618b...) successfully in 29.57s
2026-05-07 20:25:06 | Controller | INFO | controller.py:523 | [experimentCompareWS:Controller] Completed parallel context building for 1 context(s)
2026-05-07 20:25:06 | Controller | INFO | controller.py:920 | [experimentCompareWS:Controller] Created 4 query processing actors (generic pool)
2026-05-07 20:25:06 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentCompareWS:Experiment] Created MLflow run: 85b60f84615344878fa75f91efc2d4f1, 1
