2026-05-01 19:50:49 | ExperimentUtils | INFO | experiment_utils.py:180 | [experimentOscar_2:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-01 19:50:49 | ExperimentUtils | INFO | experiment_utils.py:188 | [experimentOscar_2:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-01 19:50:49 | ExperimentUtils | INFO | experiment_utils.py:154 | [experimentOscar_2:ExperimentUtils] Experiment experimentOscar_2 ended
2026-05-01 19:50:49 | Experiment | INFO | experiment.py:165 | [experimentOscar_3:Experiment] The previously running experiment experimentOscar_2 was forcibly ended. Created a new experiment 'experimentOscar_3' with Experiment ID: 23 at /home/ostran/rapidfireai/rapidfire_experiments/experimentOscar_3
2026-05-01 19:51:08 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experimentOscar_3:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-01 19:51:08 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experimentOscar_3:Experiment] Creating MLflow experiment: experimentOscar_3
2026-05-01 19:51:08 | Experiment | INFO | experiment.py:210 | [experimentOscar_3:Experiment] Initialized MetricLogger experiment: 20
2026-05-01 19:51:08 | Experiment | INFO | experiment.py:226 | [experimentOscar_3:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-01 19:51:09 | Experiment | WARNING | experiment.py:381 | [experimentOscar_3:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-01 19:51:09 | Experiment | INFO | experiment.py:383 | [experimentOscar_3:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-01 19:51:09 | Experiment | INFO | experiment.py:392 | [experimentOscar_3:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-01 19:51:10 | Controller | INFO | controller.py:895 | [experimentOscar_3:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-01 19:51:10 | Controller | INFO | controller.py:900 | [experimentOscar_3:Controller] Received 4 pipeline configuration(s)
2026-05-01 19:51:10 | Controller | INFO | controller.py:309 | [experimentOscar_3:Controller] Found 1 unique RAG context(s)
2026-05-01 19:51:10 | Controller | INFO | controller.py:320 | [experimentOscar_3:Controller] Will build new context 0335b22a...
2026-05-01 19:51:10 | Controller | INFO | controller.py:346 | [experimentOscar_3:Controller] Building 1 context(s) in parallel...
2026-05-01 19:51:10 | Controller | INFO | controller.py:373 | [experimentOscar_3:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-01 19:51:10 | Controller | INFO | controller.py:461 | [experimentOscar_3:Controller] Submitted 1 build task(s) in parallel
2026-05-01 19:51:44 | Controller | INFO | controller.py:482 | [experimentOscar_3:Controller] Built context 1 (0335b22a...) successfully in 34.69s
2026-05-01 19:51:44 | Controller | INFO | controller.py:523 | [experimentOscar_3:Controller] Completed parallel context building for 1 context(s)
2026-05-01 19:51:44 | Controller | INFO | controller.py:920 | [experimentOscar_3:Controller] Created 4 query processing actors (generic pool)
2026-05-01 19:51:44 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_3:Experiment] Created MLflow run: 8caad19ddfcf48bda53ba9064bdd4c84, 1
2026-05-01 19:51:44 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_3:Experiment] Created MLflow run: d18e45d9854149f78a44ab87745b2638, 2
2026-05-01 19:51:44 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_3:Experiment] Created MLflow run: 6ec7f2f2123043c2bb05129f201791d6, 3
2026-05-01 19:51:44 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experimentOscar_3:Experiment] Created MLflow run: 26d78ec543df4fca95455cc9115f8c75, 4
2026-05-01 19:51:45 | Controller | INFO | controller.py:931 | [experimentOscar_3:Controller] Initialized scheduler with 4 pipelines, 4 actors, 4 shards
2026-05-01 19:51:45 | Controller | INFO | controller.py:1118 | [experimentOscar_3:Controller] Created experiment-wide rate limiter actor for 4 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-01 19:51:45 | Controller | INFO | controller.py:1124 | [experimentOscar_3:Controller] Starting multi-pipeline inference scheduling...
2026-05-01 19:51:45 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-01 19:52:11 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 1 for shard 0 (1 batches)
2026-05-01 19:52:15 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 3 (Pipeline 3) on actor 2 for shard 0 (1 batches)
2026-05-01 19:52:18 | Controller | INFO | controller.py:1422 | [experimentOscar_3:Controller] Scheduling pipeline 4 (Pipeline 4) on actor 3 for shard 0 (1 batches)
