2026-05-01 19:51:31 | DocProcessingActor | INFO | doc_actor.py:59 | [experimentOscar_3:DocProcessingActor] DocProcessingActor initialized
2026-05-01 19:51:33 | DocProcessingActor | INFO | doc_actor.py:96 | [experimentOscar_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-01 19:51:33 | DocProcessingActor | INFO | doc_actor.py:107 | [experimentOscar_3:DocProcessingActor] Building document index...
2026-05-01 19:51:33 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 19:51:35 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-01 19:51:44 | DocProcessingActor | INFO | doc_actor.py:109 | [experimentOscar_3:DocProcessingActor] Document index built successfully
2026-05-01 19:51:44 | DocProcessingActor | INFO | doc_actor.py:134 | [experimentOscar_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-01 19:51:44 | DocProcessingActor | INFO | doc_actor.py:144 | [experimentOscar_3:DocProcessingActor] FAISS index serialized: 238964 bytes
2026-05-01 19:51:44 | DocProcessingActor | INFO | doc_actor.py:189 | [experimentOscar_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-01 19:52:07 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experimentOscar_3:QueryProcessingActor-0] Initializing new inference engine (config hash: b0be3d17)
2026-05-01 19:52:08 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-01 19:52:09 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experimentOscar_3:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-01 19:52:09 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experimentOscar_3:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
