2026-05-02 00:00:19 | Experiment | INFO | experiment.py:165 | [experiment_exploration_1:Experiment] An experiment with the same name already exists. Created a new experiment 'experiment_exploration_1' with Experiment ID: 25 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_exploration_1
2026-05-02 00:00:38 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_exploration_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-02 00:00:38 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_exploration_1:Experiment] Creating MLflow experiment: experiment_exploration_1
2026-05-02 00:00:38 | Experiment | INFO | experiment.py:210 | [experiment_exploration_1:Experiment] Initialized MetricLogger experiment: 22
2026-05-02 00:00:38 | Experiment | INFO | experiment.py:226 | [experiment_exploration_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-02 00:00:40 | Experiment | WARNING | experiment.py:381 | [experiment_exploration_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-02 00:00:40 | Experiment | INFO | experiment.py:383 | [experiment_exploration_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-02 00:00:40 | Experiment | INFO | experiment.py:392 | [experiment_exploration_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-02 00:00:41 | Controller | INFO | controller.py:895 | [experiment_exploration_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-02 00:00:41 | Controller | INFO | controller.py:900 | [experiment_exploration_1:Controller] Received 4 pipeline configuration(s)
2026-05-02 00:00:41 | Controller | INFO | controller.py:309 | [experiment_exploration_1:Controller] Found 1 unique RAG context(s)
2026-05-02 00:00:41 | Controller | INFO | controller.py:320 | [experiment_exploration_1:Controller] Will build new context 66b32738...
2026-05-02 00:00:41 | Controller | INFO | controller.py:346 | [experiment_exploration_1:Controller] Building 1 context(s) in parallel...
2026-05-02 00:00:41 | Controller | INFO | controller.py:373 | [experiment_exploration_1:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-02 00:00:42 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-02 00:00:42 | Controller | INFO | controller.py:461 | [experiment_exploration_1:Controller] Submitted 1 build task(s) in parallel
2026-05-02 00:01:02 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_1:DocProcessingActor] DocProcessingActor initialized
2026-05-02 00:01:03 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 00:01:03 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_1:DocProcessingActor] Building document index...
2026-05-02 00:01:04 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-02 00:01:07 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-02 00:01:26 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_exploration_1:DocProcessingActor] Document index built successfully
2026-05-02 00:01:26 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_exploration_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-02 00:01:26 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_exploration_1:DocProcessingActor] FAISS index serialized: 1051556 bytes
2026-05-02 00:01:26 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_exploration_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-02 00:01:26 | Controller | INFO | controller.py:482 | [experiment_exploration_1:Controller] Built context 1 (66b32738...) successfully in 45.52s
2026-05-02 00:01:26 | Controller | INFO | controller.py:523 | [experiment_exploration_1:Controller] Completed parallel context building for 1 context(s)
2026-05-02 00:01:26 | Controller | INFO | controller.py:920 | [experiment_exploration_1:Controller] Created 4 query processing actors (generic pool)
2026-05-02 00:01:26 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_1:Experiment] Created MLflow run: 4c4ac76556954639b870c1e5b7b59c17, 1
2026-05-02 00:01:26 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_1:Experiment] Created MLflow run: f03c12fb57e44044840b6c0aa7dc9525, 2
2026-05-02 00:01:26 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_1:Experiment] Created MLflow run: 539e09bc0db84cc69d0272fdff3c4589, 3
2026-05-02 00:01:26 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_exploration_1:Experiment] Created MLflow run: 3e7dcf9ebbcb4dd585b005295193ce60, 4
2026-05-02 00:01:26 | Controller | INFO | controller.py:931 | [experiment_exploration_1:Controller] Initialized scheduler with 4 pipelines, 4 actors, 4 shards
2026-05-02 00:01:26 | Controller | INFO | controller.py:1118 | [experiment_exploration_1:Controller] Created experiment-wide rate limiter actor for 4 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-02 00:01:26 | Controller | INFO | controller.py:1124 | [experiment_exploration_1:Controller] Starting multi-pipeline inference scheduling...
2026-05-02 00:01:27 | Controller | INFO | controller.py:1422 | [experiment_exploration_1:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-02 00:01:48 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_exploration_1:QueryProcessingActor-0] Initializing new inference engine (config hash: 09bdf225)
2026-05-02 00:01:49 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
