2026-05-02 09:18:06 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:18:06 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:18:07 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:18:07 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor initialized
2026-05-02 09:18:08 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:18:08 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_2:DocProcessingActor] Building document index...
2026-05-02 09:18:08 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:18:08 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_2:DocProcessingActor] Building document index...
2026-05-02 09:18:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:18:08 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-02 09:18:09 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:18:09 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_2:DocProcessingActor] Building document index...
2026-05-02 09:18:09 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_exploration_chunk_grid_2:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-02 09:18:09 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_exploration_chunk_grid_2:DocProcessingActor] Building document index...
2026-05-02 09:18:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
