2026-05-06 04:08:55 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_6:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 04:08:55 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_6:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 04:08:55 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_6:Experiment] Experiment experiment_hybrid_6 is currently running. Returning the same experiment object.
2026-05-06 04:08:55 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_6:Experiment] Any running tasks have been cancelled.
2026-05-06 04:09:13 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_6:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 04:09:13 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_6:Experiment] Creating MLflow experiment: experiment_hybrid_6
2026-05-06 04:09:14 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_6:Experiment] Initialized MetricLogger experiment: 35
2026-05-06 04:09:14 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_6:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 04:09:14 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 04:09:16 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_6:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 04:09:16 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_6:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 04:09:16 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_6:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 04:09:17 | Controller | INFO | controller.py:895 | [experiment_hybrid_6:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 04:09:17 | Controller | INFO | controller.py:900 | [experiment_hybrid_6:Controller] Received 1 pipeline configuration(s)
2026-05-06 04:09:17 | Controller | INFO | controller.py:309 | [experiment_hybrid_6:Controller] Found 1 unique RAG context(s)
2026-05-06 04:09:17 | Controller | INFO | controller.py:320 | [experiment_hybrid_6:Controller] Will build new context ea0900bb...
2026-05-06 04:09:17 | Controller | INFO | controller.py:346 | [experiment_hybrid_6:Controller] Building 1 context(s) in parallel...
2026-05-06 04:09:17 | Controller | INFO | controller.py:373 | [experiment_hybrid_6:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 04:09:18 | Controller | INFO | controller.py:461 | [experiment_hybrid_6:Controller] Submitted 1 build task(s) in parallel
2026-05-06 04:09:39 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_6:DocProcessingActor] DocProcessingActor initialized
2026-05-06 04:09:41 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_hybrid_6:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 04:09:41 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_hybrid_6:DocProcessingActor] Building document index...
2026-05-06 04:09:50 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_hybrid_6:DocProcessingActor] Document index built successfully
2026-05-06 04:09:50 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_hybrid_6:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-06 04:09:50 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_hybrid_6:DocProcessingActor] FAISS index serialized: 1276456 bytes
2026-05-06 04:09:50 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_hybrid_6:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-06 04:09:50 | Controller | INFO | controller.py:482 | [experiment_hybrid_6:Controller] Built context 1 (ea0900bb...) successfully in 32.83s
2026-05-06 04:09:50 | Controller | INFO | controller.py:523 | [experiment_hybrid_6:Controller] Completed parallel context building for 1 context(s)
2026-05-06 04:09:50 | Controller | INFO | controller.py:920 | [experiment_hybrid_6:Controller] Created 4 query processing actors (generic pool)
2026-05-06 04:09:50 | Experiment | INFO | metric_rfmetric_manager.py:141 | [experiment_hybrid_6:Experiment] Created MLflow run: 7c2a0646e5ce455aa0f0be8fc5cc77a4, 1
2026-05-06 04:09:50 | Controller | INFO | controller.py:931 | [experiment_hybrid_6:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-06 04:09:50 | Controller | INFO | controller.py:1118 | [experiment_hybrid_6:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 04:09:50 | Controller | INFO | controller.py:1124 | [experiment_hybrid_6:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 04:09:50 | Controller | INFO | controller.py:1422 | [experiment_hybrid_6:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 0 (1 batches)
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_hybrid_6:QueryProcessingActor-0] Initializing new inference engine (config hash: ba9e1c5f)
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_6:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_6:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_6:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 04:10:12 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 04:15:54 | Controller | INFO | controller.py:1299 | [experiment_hybrid_6:Controller] Pipeline 1 completed shard 0 (1 batches, 338.19s)
2026-05-06 04:15:54 | Controller | INFO | controller.py:1422 | [experiment_hybrid_6:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 1 (1 batches)
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_6:QueryProcessingActor-0] Reusing existing inference engine (config hash: ba9e1c5f)
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_6:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_6:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_6:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 04:15:54 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 04:21:45 | Controller | INFO | controller.py:1299 | [experiment_hybrid_6:Controller] Pipeline 1 completed shard 1 (1 batches, 349.20s)
2026-05-06 04:21:45 | Controller | INFO | controller.py:1422 | [experiment_hybrid_6:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 2 (1 batches)
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_6:QueryProcessingActor-0] Reusing existing inference engine (config hash: ba9e1c5f)
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_6:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_6:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_6:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated retriever with search_type=similarity
2026-05-06 04:21:45 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-06 04:28:04 | Controller | INFO | controller.py:1299 | [experiment_hybrid_6:Controller] Pipeline 1 completed shard 2 (1 batches, 377.29s)
2026-05-06 04:28:04 | Controller | INFO | controller.py:1422 | [experiment_hybrid_6:Controller] Scheduling pipeline 1 (Pipeline 1) on actor 0 for shard 3 (1 batches)
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [experiment_hybrid_6:QueryProcessingActor-0] Reusing existing inference engine (config hash: ba9e1c5f)
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated embedding function: OpenAIEmbeddings
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_6:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_6:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [experiment_hybrid_6:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-06 04:28:04 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [experiment_hybrid_6:QueryProcessingActor-0] Recreated retriever with search_type=similarity
