2026-05-06 18:50:18 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_8:Experiment] An experiment with the same name already exists. Created a new experiment 'experiment_hybrid_8' with Experiment ID: 40 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_8
2026-05-06 18:50:42 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_8:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 18:50:42 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_8:Experiment] Creating MLflow experiment: experiment_hybrid_8
2026-05-06 18:50:42 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_8:Experiment] Initialized MetricLogger experiment: 37
2026-05-06 18:50:42 | Experiment | INFO | experiment.py:230 | [experiment_hybrid_8:Experiment] Starting new dispatcher/api server at 127.0.0.1:8851.
2026-05-06 18:50:42 | Experiment | INFO | dispatcher.py:1121 | [experiment_hybrid_8:Experiment] Started interactive control dispatcher on http://127.0.0.1:8851
2026-05-06 18:50:42 | Experiment | INFO | dispatcher.py:1122 | [experiment_hybrid_8:Experiment] Use dispatcher API to dynamically stop/resume/delete/clone pipelines
2026-05-06 18:50:44 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 18:52:00 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 18:52:17 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_8:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 18:52:17 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_8:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 18:52:17 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_8:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 18:52:17 | Controller | INFO | controller.py:895 | [experiment_hybrid_8:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 18:52:17 | Controller | INFO | controller.py:900 | [experiment_hybrid_8:Controller] Received 1 pipeline configuration(s)
2026-05-06 18:52:17 | Controller | INFO | controller.py:309 | [experiment_hybrid_8:Controller] Found 1 unique RAG context(s)
2026-05-06 18:52:17 | Controller | INFO | controller.py:320 | [experiment_hybrid_8:Controller] Will build new context af17cb3c...
2026-05-06 18:52:17 | Controller | INFO | controller.py:346 | [experiment_hybrid_8:Controller] Building 1 context(s) in parallel...
2026-05-06 18:52:17 | Controller | INFO | controller.py:373 | [experiment_hybrid_8:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 18:52:19 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-06 18:52:20 | Controller | INFO | controller.py:461 | [experiment_hybrid_8:Controller] Submitted 1 build task(s) in parallel
2026-05-06 18:52:41 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_8:DocProcessingActor] DocProcessingActor initialized
2026-05-06 18:52:43 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_hybrid_8:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 18:52:43 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_hybrid_8:DocProcessingActor] Building document index...
2026-05-06 18:52:43 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-06 18:53:03 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_hybrid_8:DocProcessingActor] Document index built successfully
2026-05-06 18:53:03 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_hybrid_8:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-06 18:53:03 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_hybrid_8:DocProcessingActor] FAISS index serialized: 505896 bytes
2026-05-06 18:53:03 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_hybrid_8:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-06 18:53:03 | Controller | INFO | controller.py:482 | [experiment_hybrid_8:Controller] Built context 1 (af17cb3c...) successfully in 45.73s
2026-05-06 18:53:03 | Controller | INFO | controller.py:523 | [experiment_hybrid_8:Controller] Completed parallel context building for 1 context(s)
2026-05-06 18:53:03 | Controller | INFO | controller.py:920 | [experiment_hybrid_8:Controller] Created 4 query processing actors (generic pool)
2026-05-06 18:55:33 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_8:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-06 18:55:33 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_8:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-06 18:55:33 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_8:Experiment] Experiment experiment_hybrid_8 is currently running. Returning the same experiment object.
2026-05-06 18:55:33 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_8:Experiment] Any running tasks have been cancelled.
2026-05-06 18:55:52 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_8:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 18:55:52 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_8:Experiment] Creating MLflow experiment: experiment_hybrid_8
2026-05-06 18:55:52 | Experiment | WARNING | experiment.py:212 | [experiment_hybrid_8:Experiment] Failed to initialize MetricLogger: RESOURCE_ALREADY_EXISTS: Experiment(name=experiment_hybrid_8) already exists. Error: (sqlite3.IntegrityError) UNIQUE constraint failed: experiments.workspace, experiments.name
[SQL: INSERT INTO experiments (name, workspace, artifact_location, lifecycle_stage, creation_time, last_update_time) VALUES (?, ?, ?, ?, ?, ?)]
[parameters: ('experiment_hybrid_8', 'default', '', 'active', 1778118952288, 1778118952288)]
(Background on this error at: https://sqlalche.me/e/20/gkpj). MetricLogger logging will be disabled.
2026-05-06 18:55:52 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_8:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 18:55:52 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 18:55:55 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_8:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 18:55:55 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_8:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 18:55:55 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_8:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 18:55:55 | Controller | INFO | controller.py:895 | [experiment_hybrid_8:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 18:55:55 | Controller | INFO | controller.py:900 | [experiment_hybrid_8:Controller] Received 1 pipeline configuration(s)
2026-05-06 18:55:55 | Controller | INFO | controller.py:309 | [experiment_hybrid_8:Controller] Found 1 unique RAG context(s)
2026-05-06 18:55:55 | Controller | INFO | controller.py:320 | [experiment_hybrid_8:Controller] Will build new context af17cb3c...
2026-05-06 18:55:55 | Controller | INFO | controller.py:346 | [experiment_hybrid_8:Controller] Building 1 context(s) in parallel...
2026-05-06 18:55:55 | Controller | INFO | controller.py:373 | [experiment_hybrid_8:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 18:55:57 | Controller | INFO | controller.py:461 | [experiment_hybrid_8:Controller] Submitted 1 build task(s) in parallel
2026-05-06 18:56:18 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_8:DocProcessingActor] DocProcessingActor initialized
2026-05-06 18:56:19 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_hybrid_8:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-06 18:56:19 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_hybrid_8:DocProcessingActor] Building document index...
2026-05-06 18:56:19 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-06 18:56:37 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_hybrid_8:DocProcessingActor] Document index built successfully
2026-05-06 18:56:37 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_hybrid_8:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-06 18:56:37 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_hybrid_8:DocProcessingActor] FAISS index serialized: 505896 bytes
2026-05-06 18:56:37 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_hybrid_8:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-06 18:56:38 | Controller | INFO | controller.py:482 | [experiment_hybrid_8:Controller] Built context 1 (af17cb3c...) successfully in 42.37s
2026-05-06 18:56:38 | Controller | INFO | controller.py:523 | [experiment_hybrid_8:Controller] Completed parallel context building for 1 context(s)
2026-05-06 18:56:38 | Controller | INFO | controller.py:920 | [experiment_hybrid_8:Controller] Created 4 query processing actors (generic pool)
2026-05-06 18:56:38 | Controller | INFO | controller.py:931 | [experiment_hybrid_8:Controller] Initialized scheduler with 1 pipelines, 4 actors, 4 shards
2026-05-06 18:56:38 | Controller | INFO | controller.py:1118 | [experiment_hybrid_8:Controller] Created experiment-wide rate limiter actor for 1 OpenAI pipeline(s) with per-model limits (api-mistral-small-3.2-2506: 120 RPM, 1000000 TPM)
2026-05-06 18:56:38 | Controller | INFO | controller.py:1124 | [experiment_hybrid_8:Controller] Starting multi-pipeline inference scheduling...
2026-05-06 18:56:38 | Controller | INFO | controller.py:1422 | [experiment_hybrid_8:Controller] Scheduling pipeline 2 (Pipeline 2) on actor 0 for shard 0 (1 batches)
2026-05-06 18:57:02 | QueryProcessingActor-0 | INFO | query_actor.py:165 | [experiment_hybrid_8:QueryProcessingActor-0] Initializing new inference engine (config hash: 984eab1f)
2026-05-06 18:57:02 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-05-06 18:57:04 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [experiment_hybrid_8:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-06 18:57:04 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [experiment_hybrid_8:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-06 18:57:04 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [experiment_hybrid_8:QueryProcessingActor-0] Deserializing FAISS index for this actor...
