2026-05-06 19:48:46 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_9:Experiment] Experiment experiment_hybrid_9 created with Experiment ID: 41 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_9
2026-05-06 19:49:04 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_9:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-06 19:49:04 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_9:Experiment] Creating MLflow experiment: experiment_hybrid_9
2026-05-06 19:49:04 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_9:Experiment] Initialized MetricLogger experiment: 38
2026-05-06 19:49:04 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_9:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-06 19:49:05 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:49:07 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_9:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-06 19:49:07 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_9:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-06 19:49:07 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_9:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-06 19:49:07 | Controller | INFO | controller.py:895 | [experiment_hybrid_9:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-06 19:49:07 | Controller | INFO | controller.py:900 | [experiment_hybrid_9:Controller] Received 1 pipeline configuration(s)
2026-05-06 19:49:07 | Controller | INFO | controller.py:309 | [experiment_hybrid_9:Controller] Found 1 unique RAG context(s)
2026-05-06 19:49:07 | Controller | INFO | controller.py:320 | [experiment_hybrid_9:Controller] Will build new context 40766d3a...
2026-05-06 19:49:07 | Controller | INFO | controller.py:346 | [experiment_hybrid_9:Controller] Building 1 context(s) in parallel...
2026-05-06 19:49:07 | Controller | INFO | controller.py:373 | [experiment_hybrid_9:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-06 19:49:09 | Controller | INFO | controller.py:461 | [experiment_hybrid_9:Controller] Submitted 1 build task(s) in parallel
