2026-05-07 03:09:59 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_1:Experiment] An experiment with the same name already exists. Created a new experiment 'experiment_hybrid_golden_1' with Experiment ID: 49 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_golden_1
2026-05-07 03:13:09 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 03:13:09 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 03:13:09 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_golden_1:ExperimentUtils] Experiment experiment_hybrid_golden_1 ended
2026-05-07 03:13:09 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair:Experiment] The previously running experiment experiment_hybrid_golden_1 was forcibly ended. Created a new experiment 'experiment_hybrid_golden_pair' with Experiment ID: 50 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_golden_pair
2026-05-07 03:14:19 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_pair:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 03:14:19 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_pair:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 03:14:19 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair:Experiment] Experiment experiment_hybrid_golden_pair is currently running. Returning the same experiment object.
2026-05-07 03:14:19 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair:Experiment] Any running tasks have been cancelled.
2026-05-07 03:17:50 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair_1:Experiment] An experiment with the same name already exists. Created a new experiment 'experiment_hybrid_golden_pair_1' with Experiment ID: 51 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_golden_pair_1
2026-05-07 03:19:47 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_pair_1:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 03:19:47 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_pair_1:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 03:19:47 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_golden_pair_1:ExperimentUtils] Experiment experiment_hybrid_golden_pair_1 ended
