2026-05-07 03:32:00 | DocProcessingActor | INFO | doc_actor.py:59 | [experiment_hybrid_golden_pair_3:DocProcessingActor] DocProcessingActor initialized
2026-05-07 03:32:03 | DocProcessingActor | INFO | doc_actor.py:96 | [experiment_hybrid_golden_pair_3:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 03:32:03 | DocProcessingActor | INFO | doc_actor.py:107 | [experiment_hybrid_golden_pair_3:DocProcessingActor] Building document index...
2026-05-07 03:32:06 | DocProcessingActor | INFO | doc_actor.py:109 | [experiment_hybrid_golden_pair_3:DocProcessingActor] Document index built successfully
2026-05-07 03:32:06 | DocProcessingActor | INFO | doc_actor.py:134 | [experiment_hybrid_golden_pair_3:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 03:32:06 | DocProcessingActor | INFO | doc_actor.py:144 | [experiment_hybrid_golden_pair_3:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 03:32:06 | DocProcessingActor | INFO | doc_actor.py:189 | [experiment_hybrid_golden_pair_3:DocProcessingActor] DocProcessingActor: Context components ready for sharing
2026-05-07 03:34:49 | ExperimentUtils | INFO | experiment_utils.py:180 | [experiment_hybrid_golden_pair_3:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-07 03:34:49 | ExperimentUtils | INFO | experiment_utils.py:188 | [experiment_hybrid_golden_pair_3:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-07 03:34:49 | ExperimentUtils | INFO | experiment_utils.py:154 | [experiment_hybrid_golden_pair_3:ExperimentUtils] Experiment experiment_hybrid_golden_pair_3 ended
2026-05-07 03:34:49 | Experiment | INFO | experiment.py:165 | [experiment_hybrid_golden_pair_4:Experiment] The previously running experiment experiment_hybrid_golden_pair_3 was forcibly ended. Created a new experiment 'experiment_hybrid_golden_pair_4' with Experiment ID: 54 at /home/ostran/rapidfireai/rapidfire_experiments/experiment_hybrid_golden_pair_4
2026-05-07 03:35:07 | Experiment | INFO | metric_rfmetric_manager.py:55 | [experiment_hybrid_golden_pair_4:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 03:35:07 | Experiment | INFO | metric_rfmetric_manager.py:119 | [experiment_hybrid_golden_pair_4:Experiment] Creating MLflow experiment: experiment_hybrid_golden_pair_4
2026-05-07 03:35:08 | Experiment | INFO | experiment.py:210 | [experiment_hybrid_golden_pair_4:Experiment] Initialized MetricLogger experiment: 48
2026-05-07 03:35:08 | Experiment | INFO | experiment.py:226 | [experiment_hybrid_golden_pair_4:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 03:35:09 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 03:35:16 | Experiment | WARNING | experiment.py:381 | [experiment_hybrid_golden_pair_4:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 03:35:16 | Experiment | INFO | experiment.py:383 | [experiment_hybrid_golden_pair_4:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 03:35:16 | Experiment | INFO | experiment.py:392 | [experiment_hybrid_golden_pair_4:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 03:35:17 | Controller | INFO | controller.py:895 | [experiment_hybrid_golden_pair_4:Controller] Dataset sharded into 4 shard(s). Shard sizes: [5, 5, 5, 5]
2026-05-07 03:35:17 | Controller | INFO | controller.py:900 | [experiment_hybrid_golden_pair_4:Controller] Received 1 pipeline configuration(s)
2026-05-07 03:35:17 | Controller | INFO | controller.py:309 | [experiment_hybrid_golden_pair_4:Controller] Found 1 unique RAG context(s)
2026-05-07 03:35:17 | Controller | INFO | controller.py:320 | [experiment_hybrid_golden_pair_4:Controller] Will build new context e81ff4e7...
2026-05-07 03:35:17 | Controller | INFO | controller.py:346 | [experiment_hybrid_golden_pair_4:Controller] Building 1 context(s) in parallel...
2026-05-07 03:35:17 | Controller | INFO | controller.py:373 | [experiment_hybrid_golden_pair_4:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 03:35:18 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-07 03:35:19 | Controller | INFO | controller.py:461 | [experiment_hybrid_golden_pair_4:Controller] Submitted 1 build task(s) in parallel
