2026-05-07 19:24:58 | Experiment | INFO | experiment.py:165 | [otran_aliang_final_configs_1:Experiment] An experiment with the same name already exists. Created a new experiment 'otran_aliang_final_configs_1' with Experiment ID: 63 at /home/ostran/rapidfireai/rapidfire_experiments/otran_aliang_final_configs_1
2026-05-07 19:25:16 | Experiment | INFO | metric_rfmetric_manager.py:55 | [otran_aliang_final_configs_1:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 19:25:16 | Experiment | INFO | metric_rfmetric_manager.py:119 | [otran_aliang_final_configs_1:Experiment] Creating MLflow experiment: otran_aliang_final_configs_1
2026-05-07 19:25:17 | Experiment | INFO | experiment.py:210 | [otran_aliang_final_configs_1:Experiment] Initialized MetricLogger experiment: 55
2026-05-07 19:25:17 | Experiment | INFO | experiment.py:226 | [otran_aliang_final_configs_1:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 19:25:19 | Experiment | WARNING | experiment.py:381 | [otran_aliang_final_configs_1:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 19:25:19 | Experiment | INFO | experiment.py:383 | [otran_aliang_final_configs_1:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 19:25:19 | Experiment | INFO | experiment.py:392 | [otran_aliang_final_configs_1:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 19:25:20 | Controller | INFO | controller.py:895 | [otran_aliang_final_configs_1:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-07 19:25:20 | Controller | INFO | controller.py:900 | [otran_aliang_final_configs_1:Controller] Received 1 pipeline configuration(s)
2026-05-07 19:25:20 | Controller | INFO | controller.py:309 | [otran_aliang_final_configs_1:Controller] Found 1 unique RAG context(s)
2026-05-07 19:25:20 | Controller | INFO | controller.py:320 | [otran_aliang_final_configs_1:Controller] Will build new context a1a2b93a...
2026-05-07 19:25:20 | Controller | INFO | controller.py:346 | [otran_aliang_final_configs_1:Controller] Building 1 context(s) in parallel...
2026-05-07 19:25:20 | Controller | INFO | controller.py:373 | [otran_aliang_final_configs_1:Controller] Creating 1 DocProcessingActor(s) for parallel processing
2026-05-07 19:25:21 | matplotlib.font_manager | INFO | font_manager.py:1639 | generated new fontManager
2026-05-07 19:25:21 | Controller | INFO | controller.py:461 | [otran_aliang_final_configs_1:Controller] Submitted 1 build task(s) in parallel
2026-05-07 19:25:42 | DocProcessingActor | INFO | doc_actor.py:59 | [otran_aliang_final_configs_1:DocProcessingActor] DocProcessingActor initialized
2026-05-07 19:25:44 | DocProcessingActor | INFO | doc_actor.py:96 | [otran_aliang_final_configs_1:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 19:25:44 | DocProcessingActor | INFO | doc_actor.py:107 | [otran_aliang_final_configs_1:DocProcessingActor] Building document index...
2026-05-07 19:25:46 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-07 19:26:00 | DocProcessingActor | INFO | doc_actor.py:109 | [otran_aliang_final_configs_1:DocProcessingActor] Document index built successfully
2026-05-07 19:26:00 | DocProcessingActor | INFO | doc_actor.py:134 | [otran_aliang_final_configs_1:DocProcessingActor] Serializing FAISS index for cross-actor sharing...
2026-05-07 19:26:00 | DocProcessingActor | INFO | doc_actor.py:144 | [otran_aliang_final_configs_1:DocProcessingActor] FAISS index serialized: 606720 bytes
2026-05-07 19:26:00 | DocProcessingActor | INFO | doc_actor.py:189 | [otran_aliang_final_configs_1:DocProcessingActor] DocProcessingActor: Context components ready for sharing
