2026-05-07 21:24:47 | Experiment | INFO | experiment.py:165 | [otran_aliang_final_config_ws:Experiment] Experiment otran_aliang_final_config_ws created with Experiment ID: 67 at /home/ostran/rapidfireai/rapidfire_experiments/otran_aliang_final_config_ws
2026-05-07 21:25:05 | Experiment | INFO | metric_rfmetric_manager.py:55 | [otran_aliang_final_config_ws:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-07 21:25:05 | Experiment | INFO | metric_rfmetric_manager.py:119 | [otran_aliang_final_config_ws:Experiment] Creating MLflow experiment: otran_aliang_final_config_ws
2026-05-07 21:25:05 | Experiment | INFO | experiment.py:210 | [otran_aliang_final_config_ws:Experiment] Initialized MetricLogger experiment: 59
2026-05-07 21:25:05 | Experiment | INFO | experiment.py:226 | [otran_aliang_final_config_ws:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-07 21:25:05 | Experiment | WARNING | experiment.py:381 | [otran_aliang_final_config_ws:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-07 21:25:05 | Experiment | INFO | experiment.py:383 | [otran_aliang_final_config_ws:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-07 21:25:05 | Experiment | INFO | experiment.py:392 | [otran_aliang_final_config_ws:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-07 21:25:06 | Controller | INFO | controller.py:895 | [otran_aliang_final_config_ws:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-07 21:25:06 | Controller | INFO | controller.py:900 | [otran_aliang_final_config_ws:Controller] Received 8 pipeline configuration(s)
2026-05-07 21:25:06 | Controller | INFO | controller.py:309 | [otran_aliang_final_config_ws:Controller] Found 2 unique RAG context(s)
2026-05-07 21:25:06 | Controller | INFO | controller.py:320 | [otran_aliang_final_config_ws:Controller] Will build new context 529adc43...
2026-05-07 21:25:06 | Controller | INFO | controller.py:320 | [otran_aliang_final_config_ws:Controller] Will build new context ab72029d...
2026-05-07 21:25:06 | Controller | INFO | controller.py:346 | [otran_aliang_final_config_ws:Controller] Building 2 context(s) in parallel...
2026-05-07 21:25:06 | Controller | INFO | controller.py:373 | [otran_aliang_final_config_ws:Controller] Creating 2 DocProcessingActor(s) for parallel processing
2026-05-07 21:25:07 | Controller | INFO | controller.py:461 | [otran_aliang_final_config_ws:Controller] Submitted 2 build task(s) in parallel
2026-05-07 21:25:28 | DocProcessingActor | INFO | doc_actor.py:59 | [otran_aliang_final_config_ws:DocProcessingActor] DocProcessingActor initialized
2026-05-07 21:25:28 | DocProcessingActor | INFO | doc_actor.py:59 | [otran_aliang_final_config_ws:DocProcessingActor] DocProcessingActor initialized
2026-05-07 21:25:30 | DocProcessingActor | INFO | doc_actor.py:96 | [otran_aliang_final_config_ws:DocProcessingActor] DocProcessingActor: Starting context initialization...
2026-05-07 21:25:30 | DocProcessingActor | INFO | doc_actor.py:107 | [otran_aliang_final_config_ws:DocProcessingActor] Building document index...
2026-05-07 21:25:30 | DocProcessingActor | INFO | doc_actor.py:96 | [otran_aliang_final_config_ws:DocProcessingActor] DocProcessingActor: Starting context initialization...
