2026-05-04 18:32:01 | Experiment | INFO | experiment.py:165 | [temp0.5retry:Experiment] Experiment temp0.5retry created with Experiment ID: 16 at /home/ayliang/rapidfireai/rapidfire_experiments/temp0.5retry
2026-05-04 18:35:19 | ExperimentUtils | INFO | experiment_utils.py:180 | [temp0.5retry:ExperimentUtils] Reset experiment states - marked ongoing pipelines, contexts, and tasks as failed
2026-05-04 18:35:19 | ExperimentUtils | INFO | experiment_utils.py:188 | [temp0.5retry:ExperimentUtils] Experiment marked as cancelled. Ongoing pipelines, contexts, and tasks have been marked as failed.
2026-05-04 18:35:19 | Experiment | INFO | experiment.py:165 | [temp0.5retry:Experiment] Experiment temp0.5retry is currently running. Returning the same experiment object.
2026-05-04 18:35:19 | Experiment | INFO | experiment.py:165 | [temp0.5retry:Experiment] Any running tasks have been cancelled.
2026-05-04 18:35:38 | Experiment | INFO | metric_rfmetric_manager.py:55 | [temp0.5retry:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-05-04 18:35:38 | Experiment | INFO | metric_rfmetric_manager.py:119 | [temp0.5retry:Experiment] Creating MLflow experiment: temp0.5retry
2026-05-04 18:35:38 | Experiment | INFO | experiment.py:210 | [temp0.5retry:Experiment] Initialized MetricLogger experiment: 14
2026-05-04 18:35:38 | Experiment | INFO | experiment.py:226 | [temp0.5retry:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-05-04 18:35:38 | Experiment | WARNING | experiment.py:381 | [temp0.5retry:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-05-04 18:35:38 | Experiment | INFO | experiment.py:383 | [temp0.5retry:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 4 actors)
2026-05-04 18:35:38 | Experiment | INFO | experiment.py:392 | [temp0.5retry:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-05-04 18:35:39 | Controller | INFO | controller.py:895 | [temp0.5retry:Controller] Dataset sharded into 4 shard(s). Shard sizes: [12, 11, 11, 11]
2026-05-04 18:35:39 | Controller | INFO | controller.py:900 | [temp0.5retry:Controller] Received 8 pipeline configuration(s)
2026-05-04 18:35:39 | Controller | INFO | controller.py:309 | [temp0.5retry:Controller] Found 2 unique RAG context(s)
2026-05-04 18:35:39 | Controller | INFO | controller.py:320 | [temp0.5retry:Controller] Will build new context 60462fbd...
2026-05-04 18:35:39 | Controller | INFO | controller.py:320 | [temp0.5retry:Controller] Will build new context 87de128e...
2026-05-04 18:35:39 | Controller | INFO | controller.py:346 | [temp0.5retry:Controller] Building 2 context(s) in parallel...
2026-05-04 18:35:39 | Controller | INFO | controller.py:373 | [temp0.5retry:Controller] Creating 2 DocProcessingActor(s) for parallel processing
